Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
14,MEXICO - LIGA MX,2024-11-11,00:00,Necaxa,Atlas,2.38,3.25,2.7,1.4,2.75,1.29,3.5,2.03,1.83,1.7,2.05,0.4202,0.3077,0.3704,0.7143,0.3636,0.7752,0.2857,0.4926,0.5464,0.5882,0.4878,0.7323,0.8815,1.3655,1.2037,1.1345,0.8308,0.32,0.87,0.55,9.0903,23.509,-15.3763,0.1185,0.2677,0.2037,1.4236,1.062,1.0278,1.3088,0.4964,1.4756,-0.9765,-1.0747,0.626,1.2075,0.3521,2.2346,0.4925,1.9815,0.8057,0.9382,1.6048,0.86,1.2402,0.8972,1.1084,0.9645,2.2167,0.5824,3.3814,0.1131,3.8933,0.2075,2.8413,0.307,12.4869,0.0304,0.8438,0.0897,0.6311,0.1028,0.7724,0.1682,1.274,0.0626,0.7464,0.0995,0.5009,0.1523,0.5826,0.03,0.4749,0.0785,0.4726,0.0789,0.441,0.056,0.4019,0.0368,0.2622,0.0675,37.14,40.14,35.43,31.57,28.57,28.57,57.14,42.86,42.86,42.86,28.57,0.0,57.14,71.43,71.43,85.71,28.57,14.29,42.86,28.57,57.14,71.43,85.71,85.71,0.0,14.29,100.0,85.71,14.29,14.29,57.14,85.71,42.86,14.29,42.86,28.57,42.86,28.57,85.71,71.43,71.43,85.71,277.9872,0.3633,302.4936,0.4975
6,COLOMBIA - PRIMERA A,2024-11-11,00:20,Aguilas,Chico,1.8,3.3,4.2,1.5,2.5,1.4,2.75,2.3,1.6,2.1,1.67,0.5556,0.303,0.2381,0.6667,0.4,0.7143,0.3636,0.4348,0.625,0.4762,0.5988,0.5455,0.4286,1.8333,0.7857,2.3333,1.2727,2.4,1.5,0.9,50.1944,36.8699,24.2277,0.5714,0.4545,0.2143,1.7309,0.7242,0.3887,2.9172,0.128,2.3758,-1.4173,-0.685,0.471,1.1348,0.4501,1.1875,0.5135,1.0409,1.154,0.598,1.4242,0.5525,0.7092,1.569,1.2962,0.7338,2.1265,0.5027,2.183,0.1503,4.8567,0.213,2.5573,0.1236,19.613,0.0083,0.7354,0.1218,0.3656,0.2817,0.8068,0.0764,1.4371,0.0271,0.6822,0.0476,0.218,0.3083,0.2405,0.0798,0.3758,0.0567,0.6494,0.1127,0.5104,0.1052,0.4707,0.0287,0.1599,0.1163,52.57,42.29,16.0,34.29,28.57,14.29,71.43,28.57,14.29,71.43,28.57,28.57,85.71,42.86,71.43,85.71,28.57,14.29,14.29,57.14,85.71,42.86,85.71,71.43,0.0,0.0,100.0,100.0,14.29,28.57,42.86,71.43,57.14,28.57,28.57,0.0,42.86,14.29,100.0,42.86,85.71,100.0,237.7026,0.5988,347.9076,0.0294
22,USA - USL CHAMPIONSHIP,2024-11-11,00:30,Colorado Springs,Orange County SC,1.5,4.0,5.5,1.3,3.15,1.23,3.55,1.78,1.86,1.9,1.82,0.6667,0.25,0.1818,0.7692,0.3175,0.813,0.2817,0.5618,0.5376,0.5263,0.5495,0.375,0.2727,2.6667,0.7273,3.6667,1.375,4.0,2.5,1.5,63.4349,51.3402,36.8699,0.7273,0.625,0.2727,2.0635,0.7094,1.959,0.659,1.0635,0.4859,0.5743,2.2326,1.0927,0.7472,0.5857,1.8998,0.2814,1.7342,0.4672,1.144,2.0298,0.6627,1.8875,0.8652,0.9663,0.845,1.3132,1.0509,4.0086,0.165,5.957,0.1089,2.0072,0.1882,4.0683,0.0732,1.1898,0.0573,1.0807,0.1123,0.7612,0.0791,0.7236,0.1059,0.6841,0.1779,0.768,0.0536,0.5905,0.0317,0.5449,0.0604,0.4958,0.0413,0.5026,0.0595,0.5224,0.0823,0.3042,0.0559,21.43,40.0,37.29,28.0,57.14,28.57,28.57,57.14,57.14,28.57,28.57,28.57,57.14,57.14,85.71,71.43,14.29,28.57,28.57,28.57,71.43,71.43,85.71,85.71,0.0,0.0,100.0,100.0,14.29,14.29,42.86,57.14,57.14,42.86,71.43,28.57,57.14,57.14,85.71,85.71,71.43,71.43,316.1139,0.3206,286.2623,0.4675
17,PARAGUAY - PRIMERA DIVISION,2024-11-11,00:30,Guarani,Sol de America,2.0,3.25,3.4,1.5,2.5,1.4,2.75,2.25,1.62,1.91,1.8,0.5,0.3077,0.2941,0.6667,0.4,0.7143,0.3636,0.4444,0.6173,0.5236,0.5556,0.6154,0.5882,1.625,0.9559,1.7,1.0462,1.4,1.25,0.15,34.992,32.0054,4.2892,0.4118,0.3846,0.0441,1.4939,0.6533,0.6682,1.6652,0.2469,0.5298,-0.6034,-0.8868,0.6778,1.1152,0.1548,2.4419,0.1105,3.4208,0.1548,2.4419,0.7883,1.1413,0.6703,1.1277,0.5413,1.4535,1.2737,0.5935,1.4929,0.4012,4.154,0.0981,2.0301,0.1597,4.4399,0.1761,0.5743,0.1823,0.7875,0.0698,0.6457,0.1127,0.7161,0.1385,0.6727,0.047,0.6238,0.0917,0.2451,0.0906,0.3543,0.072,0.5263,0.0428,0.5493,0.0202,0.4343,0.0458,0.2892,0.0501,18.43,24.14,39.0,64.14,28.57,0.0,28.57,57.14,28.57,42.86,28.57,14.29,42.86,57.14,57.14,14.29,42.86,85.71,28.57,14.29,71.43,85.71,42.86,57.14,42.86,0.0,57.14,100.0,57.14,42.86,28.57,28.57,71.43,71.43,42.86,0.0,28.57,14.29,57.14,57.14,42.86,100.0,125.0276,1.2846,280.7999,0.4515
10,COSTA RICA - PRIMERA DIVISION,2024-11-11,01:00,Sporting San Jose,Zeledon,2.2,3.2,3.0,1.44,2.63,1.33,3.25,2.05,1.75,1.8,1.91,0.4545,0.3125,0.3333,0.6944,0.3802,0.7519,0.3077,0.4878,0.5714,0.5556,0.5236,0.6875,0.7333,1.4545,1.0667,1.3636,0.9375,0.8,1.0,0.2,21.8014,26.5651,-5.7106,0.2667,0.3125,0.0667,1.3956,1.0012,0.5232,1.0216,-0.0061,-57.4098,-0.4768,-0.8186,0.2234,2.1844,0.1727,2.1888,0.4255,1.8491,0.6129,0.8721,1.0919,0.632,0.774,0.9766,1.098,1.0516,1.2508,0.5517,2.2544,0.6171,4.1998,0.1562,3.1758,0.2122,8.4136,0.0723,0.7327,0.202,0.4683,0.148,0.8042,0.0755,0.8255,0.067,0.5623,0.1526,0.6462,0.1072,0.5507,0.0358,0.5294,0.0518,0.534,0.05,0.5321,0.0179,0.4655,0.1141,0.2224,0.0531,48.86,26.86,32.86,28.29,14.29,28.57,71.43,28.57,28.57,42.86,14.29,0.0,42.86,57.14,57.14,71.43,42.86,28.57,14.29,0.0,85.71,100.0,42.86,57.14,0.0,14.29,100.0,85.71,57.14,42.86,28.57,28.57,71.43,71.43,28.57,14.29,42.86,0.0,85.71,57.14,57.14,85.71,314.0075,0.414,189.2554,0.8095
2,ARGENTINA - TORNEO BETANO,2024-11-11,01:30,Sarmiento Junin,Boca Juniors,3.95,3.2,2.0,1.57,2.25,1.5,2.5,2.6,1.48,2.25,1.57,0.2532,0.3125,0.5,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4444,0.6369,1.2344,1.975,0.8101,1.6,0.5063,0.625,1.95,0.75,1.2,-44.2748,-20.556,-30.9638,0.975,0.2344,0.6,1.5955,0.7107,0.4547,1.1755,0.1316,2.8587,-0.9433,-0.4954,0.3333,1.4641,0.5,1.069,0.2441,1.9992,0.6337,1.2416,0.5972,0.895,0.7918,0.9547,0.4656,2.4354,1.7352,0.5482,1.2643,0.4414,2.1573,0.5223,1.4928,0.3591,6.4074,0.0494,0.3777,0.2102,0.4508,0.2522,0.4491,0.1726,1.165,0.0756,0.7055,0.0249,0.6557,0.0892,0.1688,0.0604,0.3343,0.0613,0.4368,0.0707,0.4614,0.0581,0.3269,0.0248,0.3301,0.0367,32.43,6.86,17.71,35.43,0.0,57.14,57.14,0.0,0.0,71.43,28.57,0.0,28.57,57.14,42.86,57.14,57.14,42.86,14.29,28.57,85.71,71.43,28.57,85.71,42.86,14.29,57.14,85.71,71.43,14.29,14.29,42.86,85.71,57.14,14.29,14.29,28.57,0.0,57.14,57.14,28.57,85.71,113.6988,1.5796,262.0363,0.5946
16,MEXICO - LIGA MX,2024-11-11,02:05,Monterrey,Club Leon,1.4,4.4,6.0,1.29,3.5,1.17,5.0,1.57,2.35,1.67,2.1,0.7143,0.2273,0.1667,0.7752,0.2857,0.8547,0.2,0.6369,0.4255,0.5988,0.4762,0.3182,0.2333,3.1429,0.7333,4.2857,1.3636,4.6,3.0,1.6,66.5014,56.3099,38.6598,0.7667,0.6818,0.2667,1.4376,0.972,0.7771,1.3756,-0.2237,-2.6236,-0.7985,-0.8775,0.8567,1.2988,0.7188,0.6789,0.974,0.9766,1.0161,0.5683,1.4824,1.0917,1.3748,0.7098,1.7061,0.819,2.1733,0.414,3.4973,0.1253,6.4521,0.1221,1.8658,0.2035,9.4633,0.0597,1.3056,0.0777,0.923,0.0917,0.8056,0.1056,1.2801,0.0786,0.5322,0.0815,0.6986,0.0714,0.5761,0.0399,0.6891,0.0398,0.452,0.0354,0.3766,0.0712,0.6111,0.0299,0.2746,0.0892,14.43,28.86,28.0,31.0,42.86,28.57,14.29,57.14,57.14,42.86,0.0,42.86,57.14,85.71,71.43,100.0,28.57,0.0,28.57,57.14,71.43,42.86,71.43,100.0,28.57,0.0,71.43,100.0,28.57,0.0,71.43,71.43,28.57,28.57,42.86,14.29,42.86,14.29,57.14,85.71,71.43,100.0,252.6156,0.675,241.1242,0.5743
8,COLOMBIA - PRIMERA A,2024-11-11,02:30,Millonarios,Pereira,1.55,3.5,5.8,1.5,2.5,1.4,2.75,2.3,1.6,2.25,1.57,0.6452,0.2857,0.1724,0.6667,0.4,0.7143,0.3636,0.4348,0.625,0.4444,0.6369,0.4429,0.2672,2.2581,0.6034,3.7419,1.6571,4.25,1.95,2.3,64.7989,44.2748,48.9909,0.7328,0.5571,0.3966,2.2634,0.5539,0.4239,1.2609,0.9974,0.2676,-0.858,-0.5636,0.4425,1.2079,0.444,1.2038,0.3617,1.3492,0.5965,0.8961,1.5646,0.7247,0.5813,0.9195,0.5672,1.3872,1.4393,0.5467,2.5415,0.1626,3.4572,0.3013,0.8071,0.2798,5.7787,0.0966,1.1016,0.1152,0.5508,0.24,0.5302,0.1232,0.7651,0.1819,0.526,0.1452,0.5744,0.0931,0.3387,0.0549,0.2305,0.1024,0.4061,0.0554,0.6469,0.0883,0.6318,0.0448,0.2446,0.0372,36.57,4.43,24.71,45.0,0.0,28.57,85.71,28.57,0.0,71.43,42.86,14.29,28.57,57.14,71.43,85.71,28.57,14.29,0.0,14.29,100.0,85.71,57.14,71.43,14.29,0.0,85.71,100.0,42.86,28.57,57.14,14.29,42.86,85.71,42.86,28.57,71.43,0.0,85.71,57.14,28.57,100.0,304.852,0.4408,240.4153,0.5653
13,MEXICO - LIGA DE EXPANSION MX,2024-11-11,03:00,Tapatio,Tepatitlan de Morelos,1.73,3.4,4.2,1.44,2.6,1.3,3.0,2.0,1.66,1.93,1.79,0.578,0.2941,0.2381,0.6944,0.3846,0.7692,0.3333,0.5,0.6024,0.5181,0.5587,0.5088,0.4119,1.9653,0.8095,2.4277,1.2353,2.47,1.67,0.8,51.0023,39.8619,21.8014,0.5881,0.4912,0.1905,1.8895,0.6635,0.1548,2.4419,0.6611,1.1826,-1.1428,-0.4425,0.644,1.1738,0.4451,1.2009,0.2776,1.3617,1.3314,0.8357,1.7715,1.0525,0.611,1.2877,1.1105,1.1289,1.7537,0.431,3.6087,0.218,6.0792,0.1632,0.7929,0.6245,10.9074,0.0266,1.4543,0.2152,0.7383,0.0658,0.5257,0.2277,1.024,0.099,0.4102,0.3988,0.4091,0.0983,0.5608,0.0765,0.5438,0.0406,0.4981,0.0231,0.5083,0.0281,0.6228,0.0922,0.1908,0.1331,30.29,17.14,10.57,45.14,14.29,42.86,71.43,0.0,14.29,100.0,57.14,0.0,14.29,42.86,71.43,85.71,28.57,14.29,14.29,42.86,85.71,57.14,85.71,71.43,0.0,0.0,100.0,100.0,14.29,28.57,42.86,28.57,57.14,71.43,57.14,14.29,71.43,0.0,85.71,42.86,28.57,100.0,284.9979,0.3637,319.0034,0.3041
15,MEXICO - LIGA MX,2024-11-11,04:10,Club Tijuana,Puebla,1.44,4.33,5.8,1.29,3.5,1.17,5.0,1.57,2.35,1.7,2.05,0.6944,0.2309,0.1724,0.7752,0.2857,0.8547,0.2,0.6369,0.4255,0.5882,0.4878,0.3326,0.2483,3.0069,0.7466,4.0278,1.3395,4.36,2.89,1.47,65.3583,55.3152,36.3159,0.7517,0.6674,0.2534,2.2344,0.4368,0.6018,1.8842,0.8096,0.2715,-1.5674,-0.9317,0.9076,0.6362,0.268,1.8209,0.7498,1.0081,0.8328,1.0803,2.1666,0.439,0.532,1.0047,1.357,0.557,2.0994,0.8881,3.9029,0.0989,2.2353,0.6734,3.8773,0.0859,11.664,0.0047,1.072,0.0909,0.3051,0.5044,0.9291,0.1281,1.0908,0.0176,0.5484,0.1586,0.48,0.2258,0.6675,0.044,0.6924,0.023,0.4304,0.0393,0.5227,0.0605,0.4297,0.0666,0.1816,0.0969,32.71,37.57,34.43,23.86,42.86,14.29,57.14,42.86,28.57,57.14,57.14,14.29,85.71,42.86,85.71,71.43,14.29,28.57,57.14,42.86,42.86,57.14,85.71,57.14,0.0,0.0,100.0,100.0,14.29,42.86,85.71,42.86,14.29,57.14,42.86,14.29,71.43,14.29,100.0,57.14,85.71,85.71,278.1663,0.4714,313.5174,0.3089
