Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
18,MEXICO - LIGA DE EXPANSION MX,2024-11-04,00:00,Atlante,Tampico Madero,1.2,5.5,11.0,1.35,2.95,1.22,3.55,1.77,1.87,2.4,1.52,0.8333,0.1818,0.0909,0.7407,0.339,0.8197,0.2817,0.565,0.5348,0.4167,0.6579,0.2182,0.1091,4.5833,0.5,9.1667,2.0,9.8,4.3,5.5,78.4654,65.0561,70.0169,0.8909,0.7818,0.5,2.1179,0.5919,0.9243,1.1566,1.3706,0.1441,-0.4009,-1.4018,0.9223,1.4964,0.358,1.493,0.1886,2.0042,0.4036,1.3243,1.8642,1.1105,0.523,1.022,0.4937,1.0826,0.924,0.8837,3.0072,0.1117,1.8715,0.1519,0.7529,0.1796,3.3787,0.1046,1.687,0.0841,0.4275,0.0989,0.687,0.047,0.6418,0.2036,0.385,0.2099,0.7249,0.1222,0.5983,0.0869,0.4026,0.0979,0.462,0.0963,0.4297,0.0649,0.8026,0.0547,0.2835,0.0497,19.71,16.71,19.43,31.71,28.57,28.57,57.14,28.57,28.57,57.14,42.86,14.29,28.57,42.86,71.43,57.14,28.57,42.86,42.86,28.57,57.14,71.43,71.43,57.14,0.0,14.29,100.0,85.71,28.57,42.86,42.86,14.29,57.14,85.71,57.14,14.29,71.43,14.29,85.71,57.14,28.57,71.43,316.7715,0.3212,229.5593,0.6878
21,PARAGUAY - PRIMERA DIVISION,2024-11-04,00:30,Ameliano,Olimpia Asuncion,3.25,3.0,2.15,1.5,2.5,1.4,2.75,2.3,1.6,2.0,1.73,0.3077,0.3333,0.4651,0.6667,0.4,0.7143,0.3636,0.4348,0.625,0.5,0.578,1.0833,1.5116,0.9231,1.3953,0.6615,0.7167,1.1,0.25,0.85,-28.8108,-7.125,-23.0255,0.5116,0.0833,0.3953,0.6419,1.7334,1.5558,0.8058,-0.8299,-0.8542,0.0642,4.8053,0.1308,2.8899,0.3786,1.289,0.4464,1.1974,0.4136,1.9023,0.5567,1.753,0.7241,1.0439,1.3865,0.8025,0.6599,1.1923,0.8428,1.1171,2.0757,0.3356,3.9299,0.2354,1.5929,0.4991,0.3199,0.4639,0.6455,0.2112,0.8199,0.1727,0.5026,0.2396,0.6506,0.043,0.5875,0.0391,0.4527,0.0342,0.3106,0.0876,0.5614,0.0597,0.4666,0.0536,0.3542,0.0313,0.4338,0.042,12.43,30.14,28.0,16.0,0.0,14.29,28.57,42.86,57.14,28.57,14.29,14.29,14.29,28.57,57.14,57.14,42.86,42.86,0.0,14.29,100.0,85.71,57.14,42.86,14.29,28.57,85.71,71.43,42.86,57.14,28.57,14.29,71.43,85.71,14.29,28.57,14.29,42.86,28.57,57.14,71.43,42.86,208.847,0.7123,270.3858,0.6536
40,USA - MLS,2024-11-04,00:30,Houston Dynamo,Seattle Sounders,2.15,3.5,3.1,1.44,2.63,1.33,3.25,2.08,1.73,1.91,1.91,0.4651,0.2857,0.3226,0.6944,0.3802,0.7519,0.3077,0.4808,0.578,0.5236,0.5236,0.6143,0.6935,1.6279,1.129,1.4419,0.8857,0.95,1.35,0.4,25.4077,34.0193,-11.3099,0.3065,0.3857,0.129,1.7088,0.7336,1.8417,0.7949,0.4317,0.5249,1.0807,0.8708,0.7156,1.0563,0.6915,1.0931,0.1323,2.8571,0.5968,1.3184,1.2699,0.8762,2.0746,0.6817,0.8382,0.8233,0.9939,1.0061,2.0057,0.1681,6.4427,0.1574,1.49,0.0789,2.3072,0.1877,0.8572,0.1351,1.1688,0.1141,0.7144,0.0466,0.526,0.1823,0.7632,0.1249,0.6834,0.0549,0.5956,0.0784,0.5455,0.031,0.4826,0.0336,0.6049,0.0822,0.5716,0.0311,0.3377,0.0278,28.71,37.43,28.86,18.29,42.86,28.57,28.57,57.14,57.14,42.86,14.29,28.57,57.14,42.86,71.43,71.43,28.57,28.57,14.29,42.86,85.71,57.14,57.14,71.43,14.29,0.0,85.71,100.0,42.86,28.57,42.86,71.43,57.14,28.57,57.14,42.86,42.86,57.14,71.43,85.71,71.43,57.14,188.5022,0.8576,328.1391,0.3075
41,USA - USL CHAMPIONSHIP,2024-11-04,02:00,New Mexico,Phoenix Rising,2.1,3.3,3.3,1.38,2.75,1.32,2.95,2.04,1.65,1.87,1.85,0.4762,0.303,0.303,0.7246,0.3636,0.7576,0.339,0.4902,0.6061,0.5348,0.5405,0.6364,0.6364,1.5714,1.0,1.5714,1.0,1.2,1.2,0.0,30.9638,30.9638,0.0,0.3636,0.3636,0.0,1.8571,0.7883,0.3581,1.4926,0.7772,0.6935,-1.2981,-0.581,0.9453,0.8637,0.1528,2.4738,0.4263,1.2538,0.9295,0.7424,2.1466,0.6267,0.5993,0.8919,1.3694,0.7126,1.8974,0.8982,4.2712,0.107,1.7286,0.6469,2.1542,0.1606,4.5714,0.1179,1.3253,0.1036,0.4673,0.4417,0.8253,0.0835,0.8958,0.1155,0.5731,0.049,0.6476,0.0943,0.6343,0.0601,0.5389,0.0234,0.4933,0.0389,0.536,0.045,0.5076,0.0457,0.3631,0.0432,29.43,41.43,32.0,17.57,42.86,14.29,42.86,42.86,57.14,28.57,28.57,0.0,71.43,57.14,85.71,71.43,14.29,28.57,57.14,28.57,42.86,71.43,85.71,71.43,0.0,28.57,100.0,71.43,14.29,28.57,71.43,42.86,28.57,57.14,42.86,0.0,57.14,0.0,85.71,57.14,85.71,71.43,318.5448,0.3159,214.7454,0.7938
39,USA - MLS,2024-11-04,02:45,Vancouver Whitecaps,Los Angeles FC,2.5,3.9,2.4,1.29,3.5,1.17,5.0,1.57,2.35,1.5,2.5,0.4,0.2564,0.4167,0.7752,0.2857,0.8547,0.2,0.6369,0.4255,0.6667,0.4,0.641,1.0417,1.56,1.625,0.96,0.6154,0.1,1.4,1.5,-2.8624,34.992,-36.8699,0.0417,0.359,0.625,0.5161,2.156,1.827,0.8013,-0.8229,-0.5619,0.5199,1.6592,0.2183,2.2355,1.1608,0.8194,0.9204,0.7498,0.155,2.4387,0.9371,1.2322,1.7586,0.6079,1.76,0.859,1.2387,1.2946,3.3799,0.1783,5.1214,0.0688,2.4699,0.1825,3.5571,0.2436,0.8779,0.246,1.109,0.0494,0.735,0.14,0.8233,0.2067,0.6772,0.1048,0.6543,0.0321,0.7482,0.0309,0.7186,0.0294,0.6139,0.1194,0.4539,0.1465,0.47,0.0696,0.3608,0.0862,21.14,15.86,27.71,28.29,14.29,42.86,42.86,42.86,42.86,42.86,14.29,28.57,42.86,57.14,85.71,85.71,14.29,14.29,28.57,57.14,71.43,42.86,71.43,85.71,14.29,14.29,85.71,85.71,28.57,14.29,42.86,85.71,57.14,14.29,14.29,71.43,14.29,57.14,57.14,85.71,71.43,57.14,264.0735,0.5699,306.1418,0.4361
17,JAPAN - J2 LEAGUE,2024-11-04,06:00,Kumamoto,Vegalta Sendai,2.75,3.4,2.2,1.4,2.75,1.29,3.5,1.98,1.88,1.73,2.0,0.3636,0.2941,0.4545,0.7143,0.3636,0.7752,0.2857,0.5051,0.5319,0.578,0.5,0.8088,1.25,1.2364,1.5455,0.8,0.6471,0.55,0.65,1.2,-15.3763,18.0042,-30.9638,0.25,0.1912,0.5455,0.8442,1.7341,1.0632,1.2652,0.0138,47.4275,-0.7041,-0.8317,0.4242,1.8548,0.3334,1.4637,0.2127,2.2943,0.6355,0.8411,1.0837,1.5467,0.7988,0.9463,1.0699,0.645,1.5029,0.9954,2.6115,0.3101,2.2356,0.3053,2.6443,0.389,3.6713,0.1797,0.8835,0.1496,0.6364,0.2139,0.8835,0.183,0.7793,0.1909,0.7186,0.0269,0.562,0.0324,0.4645,0.0269,0.3837,0.0235,0.5323,0.0434,0.4754,0.0431,0.4813,0.058,0.4157,0.0378,18.57,53.0,26.57,20.57,14.29,28.57,28.57,28.57,71.43,57.14,14.29,0.0,28.57,28.57,57.14,57.14,42.86,42.86,14.29,28.57,85.71,71.43,57.14,57.14,0.0,14.29,100.0,85.71,42.86,42.86,42.86,14.29,57.14,85.71,28.57,0.0,28.57,28.57,42.86,57.14,85.71,57.14,350.6775,0.0246,303.8349,0.4994
2,AUSTRALIA - A-LEAGUE,2024-11-04,09:00,Western United,Melbourne City,3.2,3.9,1.95,1.29,3.5,1.2,4.5,1.62,2.3,1.53,2.38,0.3125,0.2564,0.5128,0.7752,0.2857,0.8333,0.2222,0.6173,0.4348,0.6536,0.4202,0.8205,1.641,1.2188,2.0,0.6094,0.5,1.25,0.7,1.95,-32.0054,19.29,-44.2748,0.641,0.1795,1.0,1.5074,0.8316,0.521,2.1764,0.2219,2.6417,-1.1117,-0.5142,0.7511,1.0064,0.5009,1.5708,0.7108,1.3382,0.8783,1.6667,1.8978,0.6803,0.983,0.5874,1.6759,0.6766,2.0947,0.6422,4.5999,0.2003,2.5357,0.1144,4.0784,0.1189,3.7214,0.1383,1.1232,0.1722,0.7032,0.1761,0.9089,0.1204,0.9175,0.1387,0.6411,0.0455,0.6055,0.0923,0.8202,0.0315,0.7501,0.0387,0.4828,0.081,0.4523,0.0436,0.3893,0.0283,0.4063,0.0886,32.57,31.29,35.0,46.14,28.57,57.14,57.14,28.57,42.86,57.14,28.57,0.0,57.14,85.71,71.43,71.43,28.57,28.57,42.86,42.86,57.14,57.14,85.71,100.0,0.0,0.0,100.0,100.0,14.29,0.0,57.14,71.43,42.86,28.57,42.86,28.57,42.86,14.29,85.71,85.71,71.43,100.0,243.1296,0.5994,315.0773,0.3064
11,INDONESIA - LIGA 1,2024-11-04,09:30,Persita,Malut United,2.7,2.88,2.6,1.57,2.25,1.5,2.45,2.45,1.48,2.1,1.65,0.3704,0.3472,0.3846,0.6369,0.4444,0.6667,0.4082,0.4082,0.6757,0.4762,0.6061,0.9375,1.0385,1.0667,1.1077,0.963,0.9028,0.1,0.18,0.28,-2.8624,5.1428,-7.9696,0.0385,0.0625,0.1077,1.5477,0.81,,,0.4759,1.1906,,,0.9821,0.9161,,,0.6606,1.4773,,,2.1195,0.6347,,,1.6437,0.6898,,,4.8199,0.1442,,,3.6313,0.2002,,,1.1197,0.0951,,,0.834,0.1532,,,0.6316,0.0641,,,0.5882,0.0675,,,0.489,0.0301,,,0.3823,0.0523,,,29.0,41.57,,,42.86,,42.86,,57.14,,28.57,,71.43,,85.71,,14.29,,57.14,,42.86,,85.71,,0.0,,100.0,,14.29,,71.43,,28.57,,57.14,,42.86,,85.71,,85.71,,230.9809,0.6108,,
37,UKRAINE - PREMIER LEAGUE,2024-11-04,12:00,Obolon,Veres-Rivne,2.62,3.0,2.6,1.45,2.5,1.45,2.63,2.5,1.5,2.18,1.63,0.3817,0.3333,0.3846,0.6897,0.4,0.6897,0.3802,0.4,0.6667,0.4587,0.6135,0.8733,1.0077,1.145,1.1538,0.9924,0.8667,0.02,0.38,0.4,-0.5729,10.758,-11.3099,0.0077,0.1267,0.1538,1.022,1.3162,0.9046,1.4871,-1.1175,-0.7257,-0.9355,-1.1167,0.1388,2.7233,0.4502,1.1873,0.4546,1.1758,0.4068,1.3139,0.5326,1.4773,0.8736,0.6609,1.6501,0.9807,1.8092,0.6267,1.1144,0.1795,3.2802,0.1376,4.4629,0.2377,7.4461,0.0974,0.389,0.1676,0.6663,0.172,0.9604,0.1526,0.8092,0.2053,0.6655,0.0436,0.5942,0.1079,0.3024,0.0757,0.465,0.0471,0.4591,0.0717,0.5109,0.0276,0.3494,0.1245,0.3326,0.1672,19.14,15.71,37.57,35.71,0.0,42.86,42.86,42.86,42.86,57.14,14.29,0.0,14.29,71.43,57.14,85.71,42.86,14.29,0.0,0.0,100.0,100.0,57.14,85.71,14.29,0.0,85.71,100.0,42.86,14.29,42.86,57.14,57.14,42.86,14.29,42.86,28.57,28.57,42.86,85.71,57.14,85.71,209.2476,0.7101,242.1986,0.5242
12,INDONESIA - LIGA 1,2024-11-04,13:00,PSM Makassar,Persik Kediri,1.62,3.6,5.0,1.4,2.75,1.3,3.2,1.91,1.8,1.95,1.75,0.6173,0.2778,0.2,0.7143,0.3636,0.7692,0.3125,0.5236,0.5556,0.5128,0.5714,0.45,0.324,2.2222,0.72,3.0864,1.3889,3.38,1.98,1.4,59.3865,44.7121,34.992,0.676,0.55,0.28,1.9858,0.6501,1.1193,1.2635,0.981,0.4428,-0.7965,-1.3126,0.9342,1.1443,0.2824,1.728,0.2652,1.8401,0.4918,1.5998,1.7016,0.9424,1.0313,0.7917,0.7206,1.049,1.8278,1.2803,3.0,0.1737,4.0072,0.1563,1.1343,0.2138,5.1774,0.1283,1.0505,0.1002,0.8224,0.1,0.5505,0.0819,1.2509,0.0989,0.588,0.0811,0.7426,0.047,0.5709,0.018,0.603,0.0353,0.5287,0.0314,0.5394,0.0451,0.5295,0.051,0.359,0.0886,19.57,25.0,37.71,22.71,28.57,14.29,28.57,57.14,42.86,42.86,14.29,14.29,42.86,42.86,57.14,71.43,42.86,28.57,42.86,14.29,57.14,85.71,57.14,85.71,28.57,0.0,71.43,100.0,42.86,14.29,57.14,57.14,42.86,42.86,42.86,28.57,57.14,28.57,57.14,71.43,57.14,71.43,253.3643,0.6856,313.5835,0.3201
