Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
1,ARGENTINA - TORNEO BETANO,2024-12-17,01:00,Atl. Tucuman,Central Cordoba,1.8,3.4,4.5,1.53,2.38,1.44,2.63,2.4,1.53,2.2,1.62,0.5556,0.2941,0.2222,0.6536,0.4202,0.6944,0.3802,0.4167,0.6536,0.4545,0.6173,0.5294,0.4,1.8889,0.7556,2.5,1.3235,2.7,1.6,1.1,53.4711,38.6598,28.8108,0.6,0.4706,0.2444,2.1284,0.6109,1.1949,0.9967,0.5936,0.5494,0.1131,4.8179,0.7589,0.8522,0.3475,1.4518,0.518,1.3274,0.5584,0.9352,1.5585,0.5994,1.153,0.9356,0.9649,1.3109,1.0398,0.745,3.2974,0.0383,5.0863,0.0849,2.0083,0.2592,4.7772,0.1575,1.0154,0.0318,0.7115,0.0881,0.7427,0.1341,0.6206,0.1484,0.6082,0.399,0.6912,0.3617,0.2463,0.2781,0.2618,0.3186,0.5408,0.3824,0.5367,0.3699,0.4853,0.1819,0.2412,0.2396,41.8182,16.8182,39.6364,26.4545,72.7273,27.2727,27.2727,54.5455,54.5455,27.2727,18.1818,54.5455,54.5455,63.6364,72.7273,81.8182,27.2727,18.1818,36.3636,9.0909,63.6364,90.9091,63.6364,72.7273,63.6364,72.7273,100.0,81.8182,36.3636,27.2727,36.3636,36.3636,63.6364,63.6364,36.3636,27.2727,63.6364,27.2727,72.7273,27.2727,27.2727,54.5455,266.4327,0.1137,206.7162,0.362
2,ARGENTINA - TORNEO BETANO,2024-12-17,01:00,Ind. Rivadavia,Dep. Riestra,1.95,3.25,4.0,1.53,2.38,1.44,2.63,2.35,1.57,2.1,1.67,0.5128,0.3077,0.25,0.6536,0.4202,0.6944,0.3802,0.4255,0.6369,0.4762,0.5988,0.6,0.4875,1.6667,0.8125,2.0513,1.2308,2.05,1.3,0.75,45.7073,33.0239,20.556,0.5125,0.4,0.1875,1.4948,0.8652,0.7538,1.5491,0.3689,1.1721,-0.6556,-1.4739,0.8144,1.159,0.2821,1.6558,0.4417,1.8569,1.0739,1.02,1.0566,1.0753,1.1094,1.2395,0.6877,1.6049,1.765,0.8121,2.4827,0.1912,4.5213,0.1682,1.658,0.1624,7.5118,0.1466,0.7672,0.1681,0.6797,0.1259,0.5853,0.1577,0.9524,0.1065,0.6765,0.3255,0.5767,0.4392,0.2236,0.347,0.3426,0.1801,0.4895,0.5322,0.5124,0.1838,0.4434,0.2294,0.2685,0.321,20.4545,12.7273,21.2727,21.1818,63.6364,36.3636,9.0909,54.5455,54.5455,18.1818,9.0909,54.5455,36.3636,45.4545,63.6364,72.7273,36.3636,27.2727,45.4545,27.2727,54.5455,72.7273,54.5455,72.7273,54.5455,72.7273,72.7273,90.9091,45.4545,27.2727,36.3636,45.4545,63.6364,54.5455,36.3636,9.0909,36.3636,18.1818,63.6364,36.3636,9.0909,54.5455,231.3523,0.3156,175.0551,0.5137
3,BOLIVIA - DIVISION PROFESIONAL,2024-12-17,01:00,The Strongest,Oriente Petrolero,1.14,7.0,13.0,1.18,4.5,1.08,8.0,1.33,3.4,2.0,1.73,0.8772,0.1429,0.0769,0.8475,0.2222,0.9259,0.125,0.7519,0.2941,0.5,0.578,0.1629,0.0877,6.1404,0.5385,11.4035,1.8571,11.86,5.86,6.0,80.428,71.1554,71.5651,0.9123,0.8371,0.4615,2.2238,0.4201,0.8912,1.543,1.013,0.2205,-0.9502,-0.9343,1.1564,0.5214,0.5111,1.0217,0.4145,1.2598,1.0031,1.0413,1.8844,0.69,1.2412,0.7908,0.8714,0.804,2.1914,0.4766,2.8437,0.0745,6.212,0.1513,1.29,0.1485,10.7694,0.0826,1.4105,0.0749,0.7289,0.0993,0.8196,0.0747,1.1835,0.0622,0.3887,1.2223,0.5836,0.7452,0.7601,0.1352,0.5945,0.2712,0.4834,0.2687,0.5296,0.2126,0.7302,0.1841,0.276,0.5388,34.0,32.1818,30.4545,34.8182,72.7273,27.2727,27.2727,72.7273,63.6364,18.1818,27.2727,36.3636,72.7273,63.6364,90.9091,54.5455,9.0909,45.4545,54.5455,45.4545,45.4545,54.5455,81.8182,90.9091,81.8182,90.9091,100.0,100.0,18.1818,9.0909,54.5455,63.6364,45.4545,36.3636,63.6364,0.0,72.7273,27.2727,72.7273,27.2727,27.2727,72.7273,258.8883,0.1537,178.6726,0.5349
6,INDONESIA - LIGA 1,2024-12-17,09:30,Malut United,PSM Makassar,2.3,3.0,3.0,1.43,2.6,1.38,2.88,2.28,1.58,1.93,1.79,0.4348,0.3333,0.3333,0.6993,0.3846,0.7246,0.3472,0.4386,0.6329,0.5181,0.5587,0.7667,0.7667,1.3043,1.0,1.3043,1.0,0.7,0.7,0.0,19.29,19.29,0.0,0.2333,0.2333,0.0,1.3028,1.0453,0.7462,1.1711,-0.071,-6.9155,-0.5001,-0.8286,0.6077,1.3312,0.5184,1.0073,0.8188,1.3479,0.6794,1.1908,1.3892,0.6654,0.819,0.8554,1.4602,0.9326,1.3191,0.7008,3.0736,0.0514,2.3619,0.1054,3.209,0.0603,3.731,0.1543,0.9192,0.054,0.6385,0.0865,0.9192,0.0658,0.8657,0.1202,0.6685,0.3381,0.6907,0.3046,0.5588,0.2224,0.5147,0.2118,0.4793,0.2819,0.5083,0.214,0.4747,0.2208,0.3678,0.2985,35.4545,28.2727,20.7273,41.7273,45.4545,54.5455,45.4545,36.3636,27.2727,45.4545,27.2727,18.1818,54.5455,72.7273,54.5455,63.6364,45.4545,36.3636,36.3636,45.4545,63.6364,54.5455,72.7273,81.8182,72.7273,81.8182,90.9091,90.9091,27.2727,18.1818,45.4545,27.2727,54.5455,72.7273,18.1818,18.1818,36.3636,9.0909,45.4545,54.5455,45.4545,36.3636,235.1907,0.2536,185.7942,0.3301
7,INDONESIA - LIGA 1,2024-12-17,13:00,PSS Sleman,PSIS Semarang,2.05,3.1,3.4,1.42,2.65,1.33,3.1,2.0,1.73,1.85,1.85,0.4878,0.3226,0.2941,0.7042,0.3774,0.7519,0.3226,0.5,0.578,0.5405,0.5405,0.6613,0.6029,1.5122,0.9118,1.6585,1.0968,1.35,1.05,0.3,34.0193,27.6995,8.5308,0.3971,0.3387,0.0882,1.3744,0.9908,0.7788,1.5291,0.1997,2.8778,-0.8974,-0.8466,0.8094,0.9276,0.3781,1.3343,0.567,1.1891,0.7234,1.2503,1.5984,0.852,0.5478,0.9533,1.3987,0.6679,1.4452,0.8397,3.9272,0.0876,2.1455,0.2409,3.3817,0.0884,5.4502,0.0974,1.0337,0.053,0.4156,0.302,0.9428,0.077,0.8702,0.0584,0.6987,0.2705,0.6092,0.5141,0.5207,0.2779,0.5633,0.1965,0.4942,0.2843,0.5244,0.2637,0.431,0.2397,0.2858,0.2932,27.4545,36.9091,26.6364,19.3636,36.3636,36.3636,63.6364,45.4545,36.3636,18.1818,45.4545,45.4545,63.6364,36.3636,81.8182,63.6364,18.1818,36.3636,45.4545,27.2727,54.5455,72.7273,72.7273,63.6364,72.7273,63.6364,100.0,81.8182,27.2727,36.3636,54.5455,45.4545,45.4545,54.5455,36.3636,18.1818,36.3636,18.1818,36.3636,36.3636,63.6364,45.4545,223.6922,0.3743,167.6663,0.442
5,INDIA - ISL,2024-12-17,15:00,East Bengal,Punjab,2.62,3.2,2.45,1.36,3.0,1.22,4.0,1.73,2.08,1.62,2.2,0.3817,0.3125,0.4082,0.7353,0.3333,0.8197,0.25,0.578,0.4808,0.6173,0.4545,0.8187,1.0694,1.2214,1.3061,0.9351,0.7656,0.17,0.58,0.75,-4.8585,16.1722,-20.556,0.0694,0.1813,0.3061,0.9101,1.4287,1.0316,1.3771,-0.2523,-3.1887,-0.5001,-1.8922,0.3457,1.9502,0.7651,1.1822,0.8987,1.1227,0.8808,1.1144,1.0373,1.4592,1.3123,0.7825,1.2896,0.9468,1.8124,0.8644,2.7183,0.1267,5.3778,0.0605,3.5181,0.325,7.6476,0.1972,0.7438,0.0984,0.8258,0.1039,0.7437,0.1783,0.9622,0.0947,0.5749,0.3761,0.5229,0.6273,0.5529,0.1078,0.5974,0.1794,0.5367,0.2241,0.488,0.2244,0.3966,0.2751,0.2879,0.4641,24.5455,17.9091,39.0909,32.2727,27.2727,54.5455,45.4545,36.3636,18.1818,36.3636,45.4545,36.3636,36.3636,63.6364,63.6364,72.7273,36.3636,27.2727,27.2727,45.4545,72.7273,54.5455,54.5455,72.7273,54.5455,72.7273,72.7273,90.9091,45.4545,27.2727,45.4545,63.6364,54.5455,36.3636,18.1818,27.2727,27.2727,36.3636,27.2727,54.5455,45.4545,36.3636,185.6907,0.5048,219.4942,0.3246
11,SOUTH AFRICA - PREMIERSHIP,2024-12-17,18:30,Orlando Pirates,Sekhukhune,1.52,3.45,7.0,1.53,2.35,1.52,2.45,2.75,1.43,2.75,1.41,0.6579,0.2899,0.1429,0.6536,0.4255,0.6579,0.4082,0.3636,0.6993,0.3636,0.7092,0.4406,0.2171,2.2697,0.4929,4.6053,2.029,5.48,1.93,3.55,69.9498,43.9796,60.6039,0.7829,0.5594,0.5071,2.5128,0.4122,0.9345,1.3914,1.5562,0.1853,-0.2919,-1.9082,1.0464,0.902,0.0685,4.4015,0.4386,1.5372,0.5516,1.2466,2.2666,0.8091,0.6523,1.8257,0.7104,0.949,0.9443,0.8802,3.2336,0.0993,2.159,0.1544,0.9763,0.197,3.1227,0.1819,1.435,0.0863,0.5271,0.1603,0.6623,0.0575,0.618,0.0828,0.3589,1.068,0.6011,0.3192,0.387,0.2786,0.2777,0.3785,0.496,0.4587,0.4397,0.406,0.6882,0.0969,0.3269,0.286,31.3636,26.7273,27.0909,25.3636,72.7273,27.2727,27.2727,54.5455,54.5455,9.0909,27.2727,36.3636,45.4545,27.2727,81.8182,45.4545,18.1818,54.5455,45.4545,18.1818,54.5455,81.8182,72.7273,45.4545,72.7273,45.4545,100.0,81.8182,27.2727,54.5455,45.4545,18.1818,54.5455,81.8182,54.5455,0.0,81.8182,27.2727,72.7273,27.2727,27.2727,54.5455,265.4261,0.217,176.2695,0.4447
12,SPAIN - LALIGA2,2024-12-17,19:00,Albacete,Levante,2.4,3.3,2.75,1.44,2.63,1.3,3.4,2.03,1.83,1.8,1.91,0.4167,0.303,0.3636,0.6944,0.3802,0.7692,0.2941,0.4926,0.5464,0.5556,0.5236,0.7273,0.8727,1.375,1.2,1.1458,0.8333,0.35,0.9,0.55,9.9262,24.2277,-15.3763,0.1273,0.2727,0.2,1.723,0.7383,1.4314,0.9035,0.1891,2.1047,0.1559,3.7986,0.8935,0.6037,0.8566,1.0202,0.6376,1.2688,0.0973,3.0987,1.6312,0.496,1.0472,1.046,1.4421,1.0454,0.8913,0.9805,3.7044,0.1196,3.1955,0.0879,3.3263,0.1978,2.7865,0.2727,1.0404,0.0536,0.6681,0.0657,0.9495,0.1116,0.5772,0.1558,0.648,0.2454,0.667,0.2513,0.4059,0.2077,0.4711,0.2573,0.4914,0.1742,0.5735,0.1881,0.4444,0.0986,0.3363,0.176,28.1818,28.1818,10.5455,28.5455,72.7273,45.4545,27.2727,27.2727,63.6364,45.4545,27.2727,9.0909,63.6364,36.3636,90.9091,54.5455,9.0909,45.4545,45.4545,36.3636,54.5455,63.6364,72.7273,54.5455,72.7273,54.5455,100.0,72.7273,27.2727,45.4545,54.5455,45.4545,45.4545,54.5455,45.4545,45.4545,45.4545,36.3636,72.7273,45.4545,27.2727,27.2727,235.613,0.2443,200.8417,0.4496
13,SPAIN - LALIGA2,2024-12-17,19:00,Granada CF,FC Cartagena SAD,1.4,4.33,7.5,1.36,3.0,1.29,3.5,1.98,1.88,2.1,1.67,0.7143,0.2309,0.1333,0.7353,0.3333,0.7752,0.2857,0.5051,0.5319,0.4762,0.5988,0.3233,0.1867,3.0929,0.5773,5.3571,1.7321,6.1,2.93,3.17,71.8473,55.6828,57.7516,0.8133,0.6767,0.4227,1.4807,0.9197,0.8021,1.747,0.3507,0.9729,-0.9104,-0.9219,0.6883,1.2696,0.1788,2.2623,0.5058,1.6216,0.6803,1.1557,1.4828,0.7554,0.6997,1.1236,1.1321,1.0036,1.6102,0.6377,2.831,0.068,3.8732,0.1332,2.0237,0.2904,9.001,0.1406,1.0995,0.0411,0.4568,0.1224,0.8268,0.189,0.9113,0.0937,0.6089,0.5508,0.4936,0.796,0.418,0.2251,0.4035,0.3789,0.4926,0.1587,0.5192,0.3388,0.5626,0.1554,0.1863,0.1922,36.8182,21.6364,30.2727,38.8182,72.7273,27.2727,18.1818,72.7273,54.5455,18.1818,18.1818,45.4545,54.5455,45.4545,72.7273,63.6364,27.2727,36.3636,45.4545,18.1818,54.5455,81.8182,81.8182,63.6364,81.8182,63.6364,90.9091,100.0,18.1818,36.3636,54.5455,54.5455,45.4545,45.4545,45.4545,9.0909,45.4545,27.2727,72.7273,27.2727,18.1818,72.7273,244.8274,0.2312,165.4022,0.5839
4,BOLIVIA - DIVISION PROFESIONAL,2024-12-17,20:00,GV San Jose,Blooming,1.57,3.6,5.2,1.33,3.25,1.22,4.0,1.75,2.05,1.8,1.91,0.6369,0.2778,0.1923,0.7519,0.3077,0.8197,0.25,0.5714,0.4878,0.5556,0.5236,0.4361,0.3019,2.293,0.6923,3.3121,1.4444,3.63,2.03,1.6,61.1468,45.4265,38.6598,0.6981,0.5639,0.3077,2.1691,0.5164,0.686,1.736,1.622,0.3235,-0.9979,-0.892,1.0147,0.9302,0.2258,2.0686,0.7032,1.1664,0.9236,1.5312,2.5704,0.7135,0.5679,1.1872,0.9484,0.9747,1.5658,1.079,5.1439,0.1007,2.5382,0.3967,1.651,0.4063,6.9143,0.2607,1.6883,0.1395,0.4516,0.2693,0.5974,0.2585,0.9516,0.0841,0.4408,0.674,0.6637,0.7179,0.6374,0.1914,0.5385,0.366,0.4911,0.2775,0.4686,0.1995,0.5585,0.2927,0.2669,0.5332,23.9091,10.0,25.9091,25.9091,54.5455,18.1818,36.3636,72.7273,45.4545,9.0909,27.2727,45.4545,27.2727,36.3636,72.7273,54.5455,27.2727,45.4545,45.4545,36.3636,54.5455,63.6364,81.8182,45.4545,81.8182,45.4545,90.9091,90.9091,18.1818,54.5455,63.6364,36.3636,36.3636,63.6364,45.4545,9.0909,72.7273,18.1818,54.5455,18.1818,36.3636,72.7273,256.0551,0.2848,115.818,0.9467
