Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
1,BRAZIL - SERIE B,2024-11-13,01:00,Guarani,Amazonas,2.15,3.0,3.5,1.57,2.25,1.5,2.5,2.6,1.48,2.2,1.62,0.4651,0.3333,0.2857,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4545,0.6173,0.7167,0.6143,1.3953,0.8571,1.6279,1.1667,1.35,0.85,0.5,34.0193,23.0255,14.0362,0.3857,0.2833,0.1429,1.0474,0.859,0.7432,1.4972,-0.2253,-1.3675,-0.6796,-0.8689,0.5228,1.505,0.1323,2.8571,0.4387,1.7935,0.1727,2.1888,0.6295,1.511,0.3049,1.6005,0.8548,1.0525,0.9845,1.1729,1.8,0.2023,1.3926,0.7014,2.3372,0.2411,5.3067,0.0711,0.6555,0.0978,0.2662,0.3283,0.727,0.17,0.6948,0.1606,0.6857,0.0471,0.5574,0.1322,0.2467,0.1017,0.2651,0.0562,0.5348,0.0432,0.4012,0.1259,0.4539,0.0434,0.2467,0.0786,12.0,28.0,12.57,35.57,28.57,0.0,14.29,28.57,42.86,42.86,14.29,14.29,42.86,14.29,57.14,28.57,42.86,71.43,42.86,0.0,57.14,100.0,57.14,28.57,42.86,28.57,57.14,71.43,42.86,71.43,28.57,14.29,71.43,85.71,28.57,14.29,14.29,14.29,42.86,28.57,57.14,57.14,137.4678,1.1514,302.1321,0.5587
2,BRAZIL - SERIE B,2024-11-13,01:30,Botafogo SP,Ceara,3.9,3.1,2.0,1.57,2.25,1.5,2.5,2.6,1.48,2.2,1.62,0.2564,0.3226,0.5,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4545,0.6173,1.2581,1.95,0.7949,1.55,0.5128,0.6452,1.9,0.8,1.1,-43.5312,-21.8014,-28.8108,0.95,0.2581,0.55,1.6207,0.7735,0.8854,1.5972,0.3576,1.1289,-0.394,-1.452,0.2699,1.8081,0.3825,1.3974,0.6142,1.281,0.5015,1.0658,0.9717,1.1883,1.2469,0.3914,0.6142,1.281,1.6409,0.5947,1.8286,0.2218,3.2574,0.0703,1.9729,0.1439,4.6501,0.1609,0.5592,0.1631,0.7389,0.0432,0.5592,0.0876,0.8817,0.1807,0.6675,0.0381,0.5452,0.0858,0.2101,0.0538,0.3147,0.0388,0.4539,0.0648,0.5271,0.0355,0.404,0.0458,0.3349,0.0325,30.71,7.86,56.57,31.43,0.0,28.57,57.14,71.43,14.29,28.57,28.57,14.29,28.57,85.71,42.86,71.43,57.14,28.57,28.57,28.57,71.43,71.43,42.86,100.0,28.57,0.0,71.43,100.0,57.14,0.0,14.29,71.43,85.71,28.57,0.0,14.29,42.86,28.57,57.14,100.0,42.86,85.71,214.5014,0.8266,316.2972,0.3124
3,URUGUAY - PRIMERA DIVISION,2024-11-13,13:45,River Plate,Miramar,2.38,3.25,2.7,1.44,2.63,1.33,3.25,2.1,1.7,1.8,1.91,0.4202,0.3077,0.3704,0.6944,0.3802,0.7519,0.3077,0.4762,0.5882,0.5556,0.5236,0.7323,0.8815,1.3655,1.2037,1.1345,0.8308,0.32,0.87,0.55,9.0903,23.509,-15.3763,0.1185,0.2677,0.2037,0.8185,1.6435,1.3926,1.0034,-0.3238,-1.1695,-0.6256,-1.8812,0.3224,2.4404,0.3977,1.344,0.3002,1.7805,0.5027,1.0633,0.9607,1.6692,0.774,1.1624,1.2845,0.5885,1.3996,1.0459,1.7444,0.7632,3.4936,0.1568,2.6532,0.3509,13.6688,0.0634,0.8242,0.2003,0.4919,0.1702,0.6814,0.108,0.9919,0.1658,0.5045,0.2061,0.5251,0.1122,0.449,0.031,0.4334,0.0635,0.4801,0.06,0.5162,0.0219,0.5057,0.0647,0.2696,0.0519,29.0,49.86,26.71,22.71,28.57,28.57,28.57,28.57,71.43,42.86,0.0,14.29,57.14,42.86,57.14,57.14,42.86,42.86,14.29,28.57,85.71,71.43,57.14,57.14,0.0,28.57,100.0,71.43,42.86,42.86,28.57,57.14,71.43,42.86,28.57,14.29,28.57,42.86,57.14,57.14,100.0,57.14,276.7031,0.4604,249.8405,0.6877
4,URUGUAY - PRIMERA DIVISION,2024-11-13,20:30,Fenix,Nacional,7.0,4.2,1.4,1.4,2.75,1.29,3.5,1.98,1.88,2.2,1.62,0.1429,0.2381,0.7143,0.7143,0.3636,0.7752,0.2857,0.5051,0.5319,0.4545,0.6173,1.6667,5.0,0.6,3.0,0.2,0.3333,5.6,2.8,2.8,-70.3462,-54.4623,-54.4623,4.0,0.6667,2.0,1.5326,0.9117,1.3428,1.0902,-0.0025,-155.04,0.3571,0.8871,0.3965,1.348,0.2698,1.9811,0.7508,1.2669,0.3302,1.4779,0.8645,0.4372,0.754,1.4757,0.867,1.4014,0.3968,1.9829,1.8,0.1465,1.39,0.7009,2.9643,0.2888,1.7973,0.313,0.5583,0.0865,0.7654,0.2821,0.7726,0.1589,0.6226,0.0896,0.6525,0.073,0.5314,0.0781,0.3144,0.0503,0.4484,0.0462,0.4755,0.0536,0.4125,0.0727,0.4024,0.0641,0.5309,0.1006,41.43,5.14,32.14,10.86,0.0,0.0,85.71,71.43,0.0,14.29,42.86,42.86,42.86,14.29,71.43,71.43,28.57,28.57,42.86,0.0,57.14,100.0,42.86,57.14,14.29,14.29,85.71,85.71,57.14,42.86,28.57,28.57,71.43,71.43,28.57,42.86,42.86,57.14,85.71,71.43,42.86,28.57,263.0888,0.5788,304.3483,0.4362
5,URUGUAY - PRIMERA DIVISION,2024-11-13,23:00,Cerro Largo,Liverpool M.,2.7,3.1,2.45,1.5,2.5,1.4,2.75,2.25,1.62,1.83,1.83,0.3704,0.3226,0.4082,0.6667,0.4,0.7143,0.3636,0.4444,0.6173,0.5464,0.5464,0.871,1.102,1.1481,1.2653,0.9074,0.7903,0.25,0.4,0.65,-7.125,11.3099,-18.0042,0.102,0.129,0.2653,1.2567,1.2031,0.5305,2.1374,-0.0131,-35.6412,-0.73,-0.533,0.4977,1.5809,0.1338,2.8251,0.2175,2.2437,0.8344,0.8271,0.6938,1.5408,0.4572,1.7209,0.7069,1.0693,1.1872,0.8012,1.7586,0.1934,1.6658,0.7132,2.3862,0.4404,3.9702,0.2538,0.6406,0.1029,0.5439,0.4356,0.5691,0.3372,0.9011,0.0584,0.5559,0.0827,0.6076,0.0614,0.3056,0.0357,0.4368,0.0511,0.4373,0.0812,0.4683,0.0286,0.424,0.0271,0.3736,0.0501,23.57,27.29,20.71,31.0,14.29,14.29,42.86,28.57,42.86,57.14,28.57,14.29,28.57,28.57,42.86,85.71,57.14,14.29,28.57,14.29,71.43,85.71,28.57,42.86,14.29,0.0,85.71,100.0,71.43,57.14,28.57,14.29,71.43,85.71,28.57,14.29,42.86,14.29,57.14,42.86,57.14,85.71,300.9121,0.4398,316.3504,0.3132
