Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
1,ARGENTINA - TORNEO BETANO,2024-12-07,00:00,Sarmiento Junin,Defensa y Justicia,3.2,3.0,2.38,1.57,2.25,1.5,2.5,2.5,1.5,2.05,1.7,0.3125,0.3333,0.4202,0.6369,0.4444,0.6667,0.4,0.4,0.6667,0.4878,0.5882,1.0667,1.3445,0.9375,1.2605,0.7437,0.7933,0.82,0.2,0.62,-22.2936,-5.7106,-17.2234,0.3445,0.0667,0.2605,1.4102,0.8445,0.6723,1.7714,0.012,45.6583,-0.7168,-1.3418,0.2046,1.977,0.3028,1.5426,0.1499,2.6985,1.0553,1.038,0.5877,1.17,1.089,1.2627,0.5756,1.7841,1.8058,0.7467,2.3228,0.1219,4.6685,0.1329,1.7136,0.0814,7.6591,0.1729,0.4663,0.1744,0.6719,0.1323,0.4208,0.0684,0.9447,0.1236,0.7386,0.226,0.5846,0.4434,0.1891,0.2374,0.3461,0.1696,0.3893,0.4976,0.5143,0.1995,0.2962,0.2535,0.253,0.2688,26.0909,19.1818,21.2727,27.2727,27.2727,36.3636,36.3636,63.6364,9.0909,18.1818,18.1818,54.5455,18.1818,45.4545,27.2727,72.7273,72.7273,27.2727,9.0909,27.2727,90.9091,72.7273,36.3636,72.7273,36.3636,72.7273,63.6364,100.0,63.6364,27.2727,9.0909,45.4545,90.9091,54.5455,9.0909,9.0909,27.2727,18.1818,27.2727,36.3636,36.3636,63.6364,154.1183,0.5631,168.3098,0.5471
25,COSTA RICA - PRIMERA DIVISION,2024-12-07,02:30,San Carlos,Saprissa,2.5,3.0,2.75,1.44,2.63,1.36,3.0,2.15,1.67,1.83,1.83,0.4,0.3333,0.3636,0.6944,0.3802,0.7353,0.3333,0.4651,0.5988,0.5464,0.5464,0.8333,0.9091,1.2,1.0909,1.1,0.9167,0.25,0.5,0.25,7.125,14.0362,-7.125,0.0909,0.1667,0.0909,1.0853,1.0321,1.0295,1.3799,0.1554,2.1055,-0.3868,-0.9964,0.4999,2.1578,0.3455,1.4602,0.3622,1.8984,0.1778,3.6372,0.9201,1.6319,0.9265,1.2603,0.7647,1.087,1.3132,0.7039,2.06,0.111,2.2772,0.2274,1.2764,0.212,2.5018,0.1286,0.9663,0.0665,0.9019,0.1374,0.6935,0.1002,0.9019,0.1022,0.7161,0.5168,0.5922,0.5333,0.5718,0.171,0.5144,0.1901,0.5397,0.2398,0.5432,0.1565,0.5689,0.2652,0.531,0.2614,20.6364,25.0,23.6364,44.3636,45.4545,54.5455,27.2727,36.3636,36.3636,36.3636,18.1818,0.0,54.5455,54.5455,54.5455,36.3636,45.4545,63.6364,45.4545,18.1818,54.5455,81.8182,63.6364,81.8182,63.6364,81.8182,72.7273,90.9091,36.3636,18.1818,45.4545,54.5455,54.5455,45.4545,36.3636,18.1818,27.2727,36.3636,45.4545,54.5455,27.2727,36.3636,175.5933,0.4715,164.7085,0.5216
6,AUSTRALIA - A-LEAGUE,2024-12-07,05:00,Auckland FC,Wellington Phoenix,1.83,3.5,4.0,1.44,2.63,1.33,3.4,2.1,1.73,1.95,1.8,0.5464,0.2857,0.25,0.6944,0.3802,0.7519,0.2941,0.4762,0.578,0.5128,0.5556,0.5229,0.4575,1.9126,0.875,2.1858,1.1429,2.17,1.67,0.5,47.3345,39.8619,14.0362,0.5425,0.4771,0.125,,,1.4319,0.8475,,,0.1882,2.1126,,,0.4905,1.4018,,,0.2378,1.9643,,,1.258,0.9587,,,1.0698,0.8823,,,3.8774,0.1171,,,2.6501,0.5147,,,0.9015,0.0997,,,0.6288,0.1986,,,0.6651,0.3184,,,0.6548,0.1828,,,0.4674,0.4418,,,0.3485,0.2267,,,29.0,37.7273,,45.4545,,36.3636,,36.3636,,18.1818,,63.6364,,54.5455,,45.4545,,18.1818,,81.8182,,72.7273,,72.7273,,81.8182,,27.2727,,45.4545,,54.5455,,36.3636,,36.3636,,45.4545,,36.3636,,,205.1984,0.4156
115,JAPAN - J2 LEAGUE,2024-12-07,05:05,Okayama,Vegalta Sendai,2.05,3.2,3.2,1.44,2.63,1.33,3.25,2.1,1.7,1.8,1.91,0.4878,0.3125,0.3125,0.6944,0.3802,0.7519,0.3077,0.4762,0.5882,0.5556,0.5236,0.6406,0.6406,1.561,1.0,1.561,1.0,1.15,1.15,0.0,29.8989,29.8989,0.0,0.3594,0.3594,0.0,1.9632,0.6027,1.2696,1.0726,0.7704,0.3951,-0.4322,-1.3054,0.4527,1.5189,0.5593,0.9337,0.0845,3.568,0.5998,0.8706,1.1411,0.8602,1.0262,0.7548,0.3707,1.3609,1.4584,0.9246,2.1581,0.1086,3.1536,0.1751,0.739,0.8674,3.6945,0.1221,0.8589,0.0763,0.794,0.0805,0.4498,0.2715,0.8394,0.0895,0.5658,0.4622,0.6242,0.251,0.4972,0.1782,0.4147,0.1714,0.5051,0.1833,0.4605,0.0927,0.536,0.1677,0.4062,0.2285,31.9091,17.9091,23.3636,21.4545,63.6364,72.7273,18.1818,18.1818,36.3636,54.5455,9.0909,18.1818,27.2727,45.4545,45.4545,72.7273,54.5455,27.2727,9.0909,36.3636,90.9091,63.6364,54.5455,72.7273,54.5455,72.7273,81.8182,90.9091,45.4545,27.2727,18.1818,27.2727,81.8182,72.7273,36.3636,18.1818,54.5455,36.3636,63.6364,72.7273,18.1818,18.1818,232.8027,0.4229,200.697,0.4122
4,AUSTRALIA - A-LEAGUE,2024-12-07,08:00,Newcastle Jets,Adelaide United,3.4,4.2,1.83,1.25,3.75,1.14,5.5,1.5,2.63,1.5,2.5,0.2941,0.2381,0.5464,0.8,0.2667,0.8772,0.1818,0.6667,0.3802,0.6667,0.4,0.8095,1.8579,1.2353,2.2951,0.5382,0.4357,1.57,0.8,2.37,-38.1319,21.8014,-49.8396,0.8579,0.1905,1.2951,1.0726,1.2123,0.9971,1.4752,-0.0449,-14.922,-0.4607,-1.5186,0.5633,1.4561,0.5847,2.0368,0.5303,0.9847,0.9474,0.6676,1.2493,0.8835,1.5087,1.1515,1.2942,0.6075,1.9694,0.5078,3.6318,0.1073,5.3301,0.1531,4.4046,0.1376,6.7066,0.065,0.7708,0.1252,1.1691,0.1181,0.9072,0.151,1.2146,0.0487,0.6655,0.3761,0.4819,0.4823,0.7679,0.1452,0.9431,0.1451,0.4409,0.6457,0.4629,0.7984,0.3598,0.3043,0.3382,0.2543,32.5455,41.7273,31.6364,24.1818,36.3636,18.1818,63.6364,81.8182,36.3636,9.0909,36.3636,72.7273,63.6364,54.5455,72.7273,81.8182,27.2727,18.1818,18.1818,36.3636,81.8182,63.6364,72.7273,72.7273,72.7273,72.7273,100.0,100.0,27.2727,27.2727,45.4545,54.5455,54.5455,45.4545,36.3636,18.1818,27.2727,36.3636,36.3636,18.1818,63.6364,81.8182,214.886,0.3748,192.3693,0.4766
5,AUSTRALIA - A-LEAGUE,2024-12-07,08:00,Western United,Macarthur FC,2.5,3.7,2.45,1.3,3.4,1.17,5.0,1.62,2.3,1.5,2.5,0.4,0.2703,0.4082,0.7692,0.2941,0.8547,0.2,0.6173,0.4348,0.6667,0.4,0.6757,1.0204,1.48,1.5102,0.98,0.6622,0.05,1.2,1.25,-1.4321,30.9638,-32.0054,0.0204,0.3243,0.5102,1.0047,1.2447,1.3056,1.0881,-0.1689,-3.1593,-0.6603,-1.8105,0.5669,1.2129,0.6837,1.1499,0.6148,1.3159,0.7385,1.0646,1.3523,0.9564,1.2846,0.7196,1.5212,0.6141,1.9449,0.6898,3.9816,0.1952,5.8959,0.1486,4.968,0.1094,7.7321,0.2881,0.904,0.1657,0.8464,0.127,0.9495,0.1221,1.0282,0.1692,0.5996,0.4038,0.7491,0.5601,0.7915,0.1215,0.9773,0.1343,0.5112,0.5755,0.373,0.7255,0.3536,0.2339,0.2383,0.2904,26.2727,33.5455,30.5455,30.6364,45.4545,45.4545,54.5455,54.5455,36.3636,27.2727,36.3636,54.5455,54.5455,72.7273,72.7273,81.8182,27.2727,18.1818,27.2727,45.4545,72.7273,54.5455,72.7273,90.9091,72.7273,90.9091,100.0,100.0,27.2727,9.0909,45.4545,81.8182,54.5455,18.1818,36.3636,36.3636,27.2727,36.3636,45.4545,45.4545,54.5455,54.5455,198.0274,0.3704,214.8801,0.4705
102,INDONESIA - LIGA 1,2024-12-07,09:30,Malut United,Dewa United,2.15,3.25,3.05,1.38,2.8,1.28,3.4,1.83,1.85,1.7,2.05,0.4651,0.3077,0.3279,0.7246,0.3571,0.7812,0.2941,0.5464,0.5405,0.5882,0.4878,0.6615,0.7049,1.5116,1.0656,1.4186,0.9385,0.9,1.1,0.2,24.2277,28.8108,-5.7106,0.2951,0.3385,0.0656,,,1.6639,0.7645,,,0.585,1.813,,,0.9881,1.316,,,0.6446,1.255,,,1.8155,1.28,,,1.2305,1.0958,,,4.5381,0.1585,,,3.4747,0.1814,,,1.0849,0.1383,,,0.8122,0.0755,,,0.6405,0.2432,,,0.6299,0.1311,,,0.5173,0.3897,,,0.3516,0.1578,,,24.6364,17.1818,,36.3636,,36.3636,,36.3636,,36.3636,,63.6364,,72.7273,,27.2727,,54.5455,,45.4545,,72.7273,,72.7273,,72.7273,,27.2727,,63.6364,,36.3636,,27.2727,,45.4545,,36.3636,,36.3636,,,216.1385,0.5548
104,INDONESIA - LIGA 1,2024-12-07,09:30,Persebaya,Arema FC,1.91,3.1,3.9,1.48,2.5,1.36,2.8,2.1,1.65,1.95,1.75,0.5236,0.3226,0.2564,0.6757,0.4,0.7353,0.3571,0.4762,0.6061,0.5128,0.5714,0.6161,0.4897,1.623,0.7949,2.0419,1.2581,1.99,1.19,0.8,44.8564,30.7526,21.8014,0.5103,0.3839,0.2051,1.7217,0.7552,1.7972,0.7797,-0.0989,-4.9899,0.1117,5.7717,0.3197,2.1089,0.7469,1.0526,0.4688,1.1139,0.6961,1.2994,0.8949,0.9994,1.5778,0.6508,0.9938,0.9498,1.4661,1.0283,2.0628,0.192,4.7409,0.2058,2.121,0.1718,4.2183,0.4481,0.7974,0.1164,1.0441,0.0735,0.752,0.0952,0.9532,0.0886,0.5334,0.3931,0.7164,0.2683,0.5063,0.2256,0.5784,0.2497,0.5608,0.2177,0.4926,0.3624,0.504,0.1413,0.3609,0.253,27.7273,19.0909,37.6364,31.0909,36.3636,54.5455,45.4545,36.3636,9.0909,36.3636,45.4545,27.2727,45.4545,72.7273,54.5455,63.6364,45.4545,36.3636,27.2727,54.5455,72.7273,45.4545,63.6364,72.7273,63.6364,72.7273,81.8182,90.9091,36.3636,27.2727,45.4545,63.6364,54.5455,36.3636,9.0909,18.1818,54.5455,54.5455,36.3636,54.5455,45.4545,36.3636,196.4792,0.5186,241.6755,0.2816
147,ROMANIA - LIGA 2,2024-12-07,10:00,Concordia,Mioveni,1.44,3.75,6.5,1.4,2.7,1.35,3.0,2.05,1.7,2.15,1.65,0.6944,0.2667,0.1538,0.7143,0.3704,0.7407,0.3333,0.4878,0.5882,0.4651,0.6061,0.384,0.2215,2.6042,0.5769,4.5139,1.7333,5.06,2.31,2.75,68.4332,49.114,53.9726,0.7785,0.616,0.4231,1.6553,0.8698,0.4863,1.921,-0.0598,-4.9097,-1.004,-0.5312,0.5197,1.3231,0.3831,1.7599,0.54,1.73,0.7013,0.9221,1.2036,0.7842,0.4841,1.4204,1.2633,1.007,1.4881,0.696,1.8327,0.1724,1.6318,0.2616,2.2381,0.2038,5.4556,0.2393,0.7932,0.1132,0.3767,0.1619,0.9296,0.133,0.9222,0.219,0.7284,0.5317,0.5646,0.3537,0.3704,0.2327,0.2887,0.1919,0.4892,0.2574,0.4698,0.3514,0.5864,0.1756,0.2989,0.2984,33.9091,30.0909,11.9091,36.2727,45.4545,18.1818,45.4545,81.8182,36.3636,18.1818,36.3636,54.5455,45.4545,27.2727,72.7273,72.7273,27.2727,27.2727,9.0909,27.2727,90.9091,72.7273,63.6364,54.5455,63.6364,54.5455,90.9091,100.0,36.3636,45.4545,36.3636,27.2727,63.6364,72.7273,36.3636,18.1818,45.4545,9.0909,45.4545,18.1818,45.4545,81.8182,226.9738,0.3445,155.9826,0.4717
148,ROMANIA - LIGA 2,2024-12-07,10:00,CSC Dumbravita,Afumati,2.38,2.9,2.88,1.47,2.48,1.44,2.7,2.48,1.5,2.08,1.68,0.4202,0.3448,0.3472,0.6803,0.4032,0.6944,0.3704,0.4032,0.6667,0.4808,0.5952,0.8207,0.8264,1.2185,1.0069,1.2101,0.9931,0.5,0.52,0.02,14.0362,14.5742,-0.5729,0.1736,0.1793,0.0069,0.7402,1.8125,1.7958,0.8152,-0.8098,-0.7303,0.3731,3.0745,0.4213,1.6321,0.7792,1.4552,0.4469,1.1685,0.8857,1.0158,0.8684,1.1515,1.5776,1.0258,1.6782,0.6171,1.2045,1.0087,2.9092,0.1797,4.9815,,4.7,0.17,4.0876,,0.7892,0.1744,0.8009,,1.0165,0.1254,0.7384,,0.555,0.2966,0.6629,0.5446,0.3287,0.2282,0.4,0.1617,0.5412,0.2055,0.4932,0.1608,0.3966,0.2736,0.3518,0.4878,23.0909,43.6364,25.0,12.2857,45.4545,42.8571,54.5455,42.8571,45.4545,28.5714,27.2727,42.8571,54.5455,28.5714,72.7273,71.4286,27.2727,28.5714,18.1818,28.5714,81.8182,71.4286,81.8182,71.4286,81.8182,71.4286,100.0,85.7143,18.1818,28.5714,36.3636,57.1429,63.6364,42.8571,36.3636,28.5714,27.2727,57.1429,45.4545,42.8571,54.5455,42.8571,183.1823,0.4478,215.3856,0.5878
