Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
5,JAPAN - J1 LEAGUE,2024-11-16,06:00,Iwata,Yokohama F. Marinos,2.5,3.8,2.3,1.25,3.75,1.14,5.5,1.5,2.5,1.44,2.63,0.4,0.2632,0.4348,0.8,0.2667,0.8772,0.1818,0.6667,0.4,0.6944,0.3802,0.6579,1.087,1.52,1.6522,0.92,0.6053,0.2,1.3,1.5,-5.7106,33.0239,-36.8699,0.087,0.3421,0.6522,1.1637,1.156,1.127,1.4229,-0.0146,-47.0616,-1.0979,-1.2009,0.2641,1.8478,0.6862,1.4222,0.5021,1.0645,1.1582,0.997,1.3353,0.8333,1.3341,0.834,1.3498,0.7047,2.432,0.8699,4.8643,0.1405,4.7575,0.1826,6.5711,0.0954,8.9936,0.0612,0.7948,0.142,0.8842,0.1033,1.0805,0.0716,1.3128,0.0913,0.6451,0.0588,0.486,0.1058,0.4722,0.0409,0.8249,0.057,0.4727,0.0389,0.4343,0.1013,0.3038,0.078,0.3398,0.0544,34.14,31.14,36.57,30.0,28.57,28.57,42.86,42.86,42.86,42.86,0.0,14.29,57.14,57.14,71.43,71.43,28.57,28.57,0.0,42.86,100.0,57.14,85.71,71.43,14.29,0.0,85.71,100.0,14.29,28.57,71.43,71.43,28.57,28.57,28.57,14.29,28.57,42.86,71.43,71.43,71.43,85.71,262.1466,0.5879,355.1595,0.0408
21,SPAIN - LALIGA2,2024-11-16,14:00,Eibar,Racing Club Ferrol,1.75,3.4,4.6,1.5,2.5,1.44,2.63,2.35,1.57,2.2,1.62,0.5714,0.2941,0.2174,0.6667,0.4,0.6944,0.3802,0.4255,0.6369,0.4545,0.6173,0.5147,0.3804,1.9429,0.7391,2.6286,1.3529,2.85,1.65,1.2,54.9406,39.5226,30.9638,0.6196,0.4853,0.2609,1.831,0.7995,,,0.0089,37.2135,,,0.551,0.9701,,,0.4226,1.8618,,,1.0292,0.561,,,1.0203,1.2653,,,1.9329,0.4452,,,2.2,0.2341,,,0.755,0.4509,,,0.755,0.1433,,,0.5588,0.2015,,,0.3504,0.129,,,0.4409,0.029,,,0.5101,0.0868,,,25.71,13.14,,,14.29,,71.43,,28.57,,42.86,,28.57,,71.43,,28.57,,14.29,,85.71,,42.86,,0.0,,100.0,,57.14,,28.57,,71.43,,42.86,,57.14,,85.71,,42.86,,314.2411,0.3098,,
4,IRELAND - PREMIER DIVISION,2024-11-16,15:00,Bray,Drogheda,5.0,3.75,1.57,1.4,2.75,1.3,3.2,1.91,1.8,1.95,1.75,0.2,0.2667,0.6369,0.7143,0.3636,0.7692,0.3125,0.5236,0.5556,0.5128,0.5714,1.3333,3.1847,0.75,2.3885,0.314,0.4187,3.43,1.25,2.18,-59.754,-32.0054,-47.4658,2.1847,0.3333,1.3885,0.5013,2.2619,0.6874,1.6187,-1.986,-0.7854,-1.6882,-0.7683,0.1268,2.9811,0.5672,0.9423,1.8293,0.8178,1.2,0.7498,0.6109,1.2879,0.8629,0.7997,2.5969,0.6232,2.5511,0.8115,10.5713,0.2299,5.6996,0.2169,35.0953,0.3283,14.5989,0.0156,0.4961,0.3558,0.6103,0.1768,1.3532,0.1468,1.2532,0.033,0.4356,0.5154,0.5848,0.1428,0.8319,0.1462,0.5602,0.0732,0.5748,0.0691,0.6001,0.0297,0.1351,0.2865,0.2206,0.0417,18.14,21.0,29.57,8.0,14.29,0.0,28.57,71.43,57.14,14.29,0.0,57.14,42.86,57.14,85.71,85.71,14.29,14.29,57.14,42.86,42.86,57.14,85.71,71.43,14.29,14.29,85.71,85.71,14.29,28.57,71.43,57.14,28.57,42.86,14.29,14.29,14.29,14.29,42.86,71.43,85.71,71.43,347.7305,0.3726,263.6509,0.5605
10,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-11-16,16:00,Cliftonville,Ballymena,1.55,3.8,5.5,1.3,3.15,1.25,3.75,1.86,1.9,1.89,1.84,0.6452,0.2632,0.1818,0.7692,0.3175,0.8,0.2667,0.5376,0.5263,0.5291,0.5435,0.4079,0.2818,2.4516,0.6909,3.5484,1.4474,3.95,2.25,1.7,63.1456,48.3665,40.3645,0.7182,0.5921,0.3091,1.7822,0.7244,1.7324,0.9257,0.3162,1.5648,0.2225,3.8319,0.5644,0.947,0.5222,1.5067,0.1258,3.0048,0.3351,1.4563,0.9857,0.8283,1.2908,1.0692,0.6694,1.6939,1.0683,1.3238,1.6215,0.4965,5.1594,0.2209,1.3843,0.384,4.0176,0.1408,0.6907,0.4636,0.7886,0.1466,0.5478,0.257,0.6457,0.1561,0.5097,0.1636,0.6124,0.2129,0.6284,0.0447,0.5527,0.068,0.579,0.0874,0.4841,0.0638,0.5242,0.0818,0.2915,0.1238,20.71,11.86,33.57,21.0,28.57,14.29,42.86,57.14,28.57,42.86,28.57,28.57,28.57,28.57,57.14,57.14,42.86,42.86,14.29,28.57,85.71,71.43,42.86,28.57,28.57,0.0,71.43,100.0,57.14,71.43,28.57,28.57,71.43,71.43,42.86,28.57,57.14,57.14,71.43,71.43,28.57,57.14,250.8113,0.6816,359.0353,0.0343
6,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-11-16,16:00,Dungannon,Glenavon,1.9,3.4,3.6,1.32,3.05,1.26,3.7,1.88,1.88,1.75,1.98,0.5263,0.2941,0.2778,0.7576,0.3279,0.7937,0.2703,0.5319,0.5319,0.5714,0.5051,0.5588,0.5278,1.7895,0.9444,1.8947,1.0588,1.7,1.5,0.2,40.3645,36.8699,5.7106,0.4722,0.4412,0.0556,1.8679,0.6711,1.2609,1.0669,0.134,5.3776,-0.289,-3.2453,0.9344,1.0702,0.431,1.2401,0.4881,1.5487,0.6163,1.5434,1.3732,0.8103,0.5765,1.3648,1.2392,0.9805,0.8655,1.4916,3.4485,0.1646,2.6657,0.0692,0.9429,2.1536,3.2289,0.1019,1.1981,0.0955,0.4176,0.1023,0.4838,0.3355,0.7033,0.1698,0.4474,0.0586,0.8528,0.2167,0.7264,0.0385,0.617,0.0149,0.5161,0.0469,0.5448,0.0207,0.5391,0.1488,0.2638,0.0739,20.86,21.43,7.57,7.71,28.57,0.0,57.14,42.86,42.86,28.57,42.86,42.86,28.57,14.29,85.71,71.43,14.29,28.57,28.57,28.57,71.43,71.43,85.71,57.14,0.0,28.57,100.0,71.43,14.29,42.86,42.86,14.29,57.14,85.71,71.43,28.57,71.43,28.57,85.71,42.86,42.86,42.86,318.5683,0.3157,257.4222,0.669
7,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-11-16,16:00,Glentoran,Portadown,1.4,4.2,7.0,1.3,3.15,1.25,3.75,1.85,1.9,2.02,1.72,0.7143,0.2381,0.1429,0.7692,0.3175,0.8,0.2667,0.5405,0.5263,0.495,0.5814,0.3333,0.2,3.0,0.6,5.0,1.6667,5.6,2.8,2.8,70.3462,54.4623,54.4623,0.8,0.6667,0.4,1.6401,0.7643,1.1928,1.1278,0.4425,0.5512,0.1015,10.4828,0.3763,1.4204,0.426,1.2547,0.2161,1.7492,0.3207,1.5217,0.7509,1.1982,1.0506,1.0991,0.3083,1.5829,0.9491,1.0536,1.2829,0.3303,6.3865,0.1459,0.8728,1.0301,3.8146,0.3237,0.7439,0.1421,0.8377,0.1153,0.5296,0.2677,0.6235,0.3532,0.6724,0.0851,0.7254,0.1701,0.5668,0.0776,0.6293,0.0369,0.4915,0.059,0.5042,0.0526,0.6307,0.0845,0.247,0.1016,10.14,14.29,19.43,21.71,14.29,28.57,42.86,28.57,28.57,57.14,28.57,14.29,14.29,28.57,57.14,57.14,42.86,42.86,0.0,14.29,100.0,85.71,42.86,57.14,28.57,14.29,71.43,85.71,57.14,42.86,0.0,42.86,100.0,57.14,42.86,28.57,42.86,28.57,57.14,57.14,28.57,57.14,214.4096,0.8202,324.296,0.4744
8,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-11-16,16:00,Loughgall,Coleraine,3.9,3.6,1.75,1.27,3.4,1.2,4.4,1.68,2.12,1.64,2.16,0.2564,0.2778,0.5714,0.7874,0.2941,0.8333,0.2273,0.5952,0.4717,0.6098,0.463,1.0833,2.2286,0.9231,2.0571,0.4487,0.4861,2.15,0.3,1.85,-47.07,-8.5308,-42.7688,1.2286,0.0833,1.0571,0.8104,1.7451,0.8266,1.2932,-1.3779,-1.1473,-0.3131,-1.1278,0.5688,1.6723,0.4409,1.2123,1.1362,1.0163,0.6799,1.1118,1.2789,0.9949,0.8994,0.642,2.6568,0.6467,1.2125,0.7845,5.4203,0.1033,2.9215,0.4722,11.7004,0.2136,4.5286,0.1174,0.8612,0.178,0.6711,0.1308,1.2898,0.1226,0.8854,0.159,0.5097,0.1328,0.6219,0.0778,0.6949,0.0324,0.5537,0.0898,0.5609,0.0538,0.4892,0.0673,0.2939,0.0949,0.3423,0.137,26.71,32.86,39.71,21.57,14.29,14.29,57.14,71.43,42.86,14.29,28.57,28.57,57.14,71.43,85.71,71.43,14.29,28.57,71.43,42.86,28.57,57.14,100.0,71.43,0.0,14.29,100.0,85.71,0.0,28.57,85.71,57.14,14.29,42.86,28.57,14.29,28.57,14.29,71.43,85.71,85.71,71.43,308.764,0.3171,265.6386,0.5991
17,SCOTLAND - CHAMPIONSHIP,2024-11-16,16:00,Raith,Morton,1.75,3.3,5.0,1.44,2.63,1.36,3.0,2.15,1.67,2.1,1.67,0.5714,0.303,0.2,0.6944,0.3802,0.7353,0.3333,0.4651,0.5988,0.4762,0.5988,0.5303,0.35,1.8857,0.66,2.8571,1.5152,3.25,1.55,1.7,58.3925,37.7757,40.3645,0.65,0.4697,0.34,1.5348,0.9104,0.424,1.2606,0.103,3.466,-0.9682,-0.5556,0.7804,0.8843,0.1595,2.3699,0.1092,3.4615,0.2925,1.6684,1.0486,0.858,0.3146,1.5512,0.9456,1.2211,1.2828,0.9772,3.193,0.1144,0.6429,0.8014,1.6287,0.1209,10.3518,0.086,0.8486,0.1931,0.196,0.7092,0.5629,0.0849,0.9817,0.1285,0.6529,0.0841,0.5506,0.0463,0.4322,0.075,0.4937,0.032,0.4937,0.012,0.5055,0.0313,0.4116,0.1302,0.2491,0.1807,27.71,29.57,16.0,38.71,14.29,0.0,71.43,28.57,28.57,42.86,57.14,14.29,42.86,28.57,71.43,28.57,28.57,71.43,14.29,14.29,85.71,85.71,42.86,42.86,0.0,28.57,100.0,71.43,57.14,57.14,28.57,28.57,71.43,71.43,71.43,0.0,42.86,0.0,85.71,28.57,57.14,71.43,278.0186,0.4665,208.9887,0.8111
16,SCOTLAND - CHAMPIONSHIP,2024-11-16,16:00,Ayr,Queen's Park,1.95,3.25,3.9,1.44,2.63,1.33,3.25,2.05,1.75,1.83,1.83,0.5128,0.3077,0.2564,0.6944,0.3802,0.7519,0.3077,0.4878,0.5714,0.5464,0.5464,0.6,0.5,1.6667,0.8333,2.0,1.2,1.95,1.3,0.65,44.2748,33.0239,18.0042,0.5,0.4,0.1667,2.2744,0.4291,1.586,0.923,1.7958,0.2864,0.2253,3.7239,1.1981,0.7939,0.7705,1.4986,0.8854,1.4159,0.5228,1.0224,2.8236,0.5936,1.408,1.1389,1.0278,1.1821,1.1827,0.9763,4.4343,0.1055,3.5872,0.1396,2.2972,0.496,3.9373,0.1226,1.4093,0.1292,0.7329,0.0937,0.8379,0.1636,0.7328,0.0924,0.5473,0.1049,0.6096,0.0538,0.5647,0.0537,0.5144,0.0317,0.479,0.0445,0.537,0.0283,0.533,0.1032,0.3228,0.0511,27.14,19.43,23.86,23.0,42.86,14.29,57.14,71.43,42.86,28.57,42.86,42.86,42.86,42.86,85.71,100.0,14.29,0.0,57.14,28.57,42.86,71.43,85.71,85.71,0.0,0.0,100.0,100.0,14.29,14.29,57.14,57.14,42.86,42.86,57.14,57.14,71.43,57.14,100.0,85.71,42.86,57.14,281.422,0.4682,281.6677,0.3571
11,NORTHERN IRELAND - NIFL PREMIERSHIP,2024-11-16,16:00,Carrick Rangers,Crusaders,3.8,3.5,1.8,1.32,3.1,1.25,3.75,1.86,1.9,1.75,1.98,0.2632,0.2857,0.5556,0.7576,0.3226,0.8,0.2667,0.5376,0.5263,0.5714,0.5051,1.0857,2.1111,0.9211,1.9444,0.4737,0.5143,2.0,0.3,1.7,-45.0,-8.5308,-40.3645,1.1111,0.0857,0.9444,1.8208,0.8807,1.5096,0.9697,0.2835,2.8141,-0.3552,-3.7019,1.16,0.7756,0.4778,1.6467,0.717,1.3266,0.3672,1.329,1.6947,0.4643,0.968,1.4257,1.4111,1.0714,1.3232,1.1063,4.9973,0.0968,2.2214,0.1606,6.1749,0.1301,5.1727,0.0415,0.8939,0.1049,0.694,0.1947,1.0368,0.1017,0.694,0.1236,0.6397,0.1204,0.5214,0.0913,0.613,0.032,0.5833,0.0471,0.483,0.0358,0.6084,0.0669,0.3593,0.0593,0.388,0.0941,21.14,29.14,25.29,21.57,42.86,14.29,42.86,57.14,57.14,28.57,28.57,42.86,57.14,14.29,85.71,71.43,14.29,28.57,71.43,14.29,28.57,85.71,85.71,57.14,0.0,0.0,100.0,100.0,14.29,42.86,57.14,28.57,42.86,71.43,57.14,42.86,57.14,57.14,85.71,71.43,71.43,42.86,349.6299,0.0256,320.1027,0.3181
