Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
4,BRAZIL - SERIE A BETANO,2024-11-05,00:00,Corinthians,Palmeiras,3.0,3.25,2.3,1.44,2.63,1.36,3.2,2.1,1.7,1.8,1.95,0.3333,0.3077,0.4348,0.6944,0.3802,0.7353,0.3125,0.4762,0.5882,0.5556,0.5128,0.9231,1.3043,1.0833,1.413,0.7667,0.7077,0.7,0.25,0.95,-19.29,7.125,-25.4077,0.3043,0.0769,0.413,1.8309,0.5839,1.1249,1.1144,0.6078,0.3235,0.0306,10.1275,0.6184,0.8643,0.2024,2.4111,0.9038,0.4182,0.1801,2.0988,1.8398,0.3751,0.7318,1.0329,1.232,0.5601,0.7011,0.7624,4.293,0.0508,3.1785,0.1708,2.5587,0.1511,2.2513,0.2457,1.4081,0.0763,0.9398,0.1555,0.9081,0.0899,0.6541,0.0873,0.6183,0.0631,0.6021,0.0854,0.3817,0.0469,0.4487,0.1012,0.5309,0.0416,0.5461,0.0542,0.5305,0.0475,0.451,0.0632,41.71,20.0,30.0,34.86,28.57,0.0,71.43,57.14,28.57,28.57,28.57,28.57,85.71,28.57,100.0,42.86,0.0,57.14,42.86,0.0,57.14,100.0,100.0,42.86,0.0,14.29,100.0,85.71,0.0,57.14,71.43,0.0,28.57,100.0,14.29,28.57,42.86,28.57,100.0,57.14,85.71,57.14,205.6895,0.7016,232.4119,0.6844
15,PARAGUAY - PRIMERA DIVISION,2024-11-05,00:30,Cerro Porteno,Tacuary,1.3,4.75,8.0,1.36,3.0,1.29,3.5,1.9,1.9,2.25,1.57,0.7692,0.2105,0.125,0.7353,0.3333,0.7752,0.2857,0.5263,0.5263,0.4444,0.6369,0.2737,0.1625,3.6538,0.5938,6.1538,1.6842,6.7,3.45,3.25,73.3792,59.8987,58.3925,0.8375,0.7263,0.4062,1.9314,0.6684,1.5267,0.9152,0.6449,0.5781,-0.142,-4.6831,0.9133,1.3303,0.6936,1.3714,0.4537,1.7342,0.7,1.3589,1.5293,0.832,1.3609,0.935,0.8844,1.2087,1.5029,1.3775,2.4314,0.1376,3.2642,0.2529,1.5328,0.1764,3.1214,0.2675,1.117,0.1277,0.6405,0.084,0.8313,0.0895,0.569,0.146,0.5424,0.1088,0.6556,0.0905,0.4417,0.0623,0.3876,0.1102,0.5074,0.0309,0.5137,0.0263,0.6625,0.0266,0.281,0.0754,44.0,31.71,28.43,24.86,28.57,28.57,57.14,42.86,28.57,28.57,28.57,28.57,42.86,57.14,71.43,57.14,28.57,42.86,42.86,28.57,57.14,71.43,71.43,57.14,0.0,14.29,100.0,85.71,28.57,42.86,42.86,42.86,57.14,57.14,42.86,14.29,57.14,42.86,85.71,71.43,57.14,71.43,276.2038,0.4644,271.3397,0.5627
2,ARGENTINA - TORNEO BETANO,2024-11-05,01:00,Ind. Rivadavia,Rosario Central,2.75,2.88,2.8,1.78,2.03,1.73,2.0,3.5,1.3,2.63,1.44,0.3636,0.3472,0.3571,0.5618,0.4926,0.578,0.5,0.2857,0.7692,0.3802,0.6944,0.9549,0.9821,1.0473,1.0286,1.0182,0.9722,0.05,0.13,0.08,1.4321,3.719,-2.2906,0.0179,0.0451,0.0286,1.4986,0.9324,0.5101,2.2229,0.0081,45.0247,-0.6161,-0.602,0.5525,0.9674,0.1316,2.8723,0.2708,1.8021,1.0299,0.7928,0.7264,0.6718,0.5546,0.9638,0.7182,1.0525,1.1707,0.5895,2.5214,0.1258,1.7072,0.6005,1.6999,0.5857,4.5355,0.0725,0.6076,0.089,0.3404,0.2312,0.4648,0.3935,0.6261,0.0813,0.6751,0.0324,0.5391,0.0707,0.1702,0.1269,0.1897,0.3105,0.4302,0.1109,0.4001,0.0805,0.3581,0.0438,0.2522,0.0397,24.0,25.86,37.57,22.43,14.29,14.29,57.14,42.86,28.57,57.14,57.14,0.0,28.57,42.86,71.43,71.43,28.57,28.57,14.29,42.86,85.71,57.14,42.86,42.86,0.0,0.0,100.0,100.0,57.14,57.14,0.0,28.57,100.0,71.43,42.86,0.0,42.86,14.29,71.43,57.14,57.14,85.71,278.188,0.4603,304.0806,0.3255
6,BRAZIL - SERIE B,2024-11-05,01:00,Ponte Preta,Paysandu PA,2.45,3.1,2.88,1.5,2.5,1.4,2.75,2.3,1.6,2.0,1.73,0.4082,0.3226,0.3472,0.6667,0.4,0.7143,0.3636,0.4348,0.625,0.5,0.578,0.7903,0.8507,1.2653,1.0764,1.1755,0.929,0.43,0.65,0.22,12.1339,18.0042,-6.2773,0.1493,0.2097,0.0764,0.9795,1.4438,0.542,0.9862,-0.8692,-0.5882,-0.6147,-0.7337,0.2628,1.8569,0.529,1.0104,0.6051,0.8833,0.6987,0.6984,0.5564,0.9606,0.9672,0.8442,1.4255,0.9802,1.5819,0.4974,0.9572,1.9255,3.8711,0.204,3.7172,0.1632,7.4992,0.0731,0.429,0.7783,0.543,0.3429,1.0004,0.1582,0.9002,0.1561,0.7229,0.0862,0.5082,0.0952,0.2743,0.0496,0.3339,0.0326,0.4395,0.0935,0.5637,0.0374,0.4295,0.048,0.2289,0.09,27.14,27.57,18.43,39.29,0.0,57.14,57.14,14.29,42.86,85.71,28.57,0.0,28.57,71.43,71.43,85.71,28.57,14.29,14.29,42.86,85.71,57.14,57.14,85.71,0.0,0.0,100.0,100.0,42.86,14.29,14.29,28.57,85.71,71.43,14.29,14.29,28.57,0.0,57.14,71.43,71.43,100.0,308.3448,0.3159,239.8655,0.5724
7,BRAZIL - SERIE B,2024-11-05,01:15,Ituano,CRB,2.4,3.0,3.0,1.53,2.38,1.44,2.63,2.5,1.5,2.0,1.73,0.4167,0.3333,0.3333,0.6536,0.4202,0.6944,0.3802,0.4,0.6667,0.5,0.578,0.8,0.8,1.25,1.0,1.25,1.0,0.6,0.6,0.0,16.6992,16.6992,0.0,0.2,0.2,0.0,1.8351,0.7977,0.6264,1.7763,0.2756,1.3643,-0.8243,-0.7391,0.6087,0.8781,0.1415,2.6714,0.2889,1.6892,0.5922,0.9026,1.1615,0.9204,0.3875,2.0305,0.8859,1.0156,1.2118,0.7424,3.3001,0.1032,2.2714,0.371,3.6429,0.2054,5.3425,0.1244,0.7457,0.1033,0.408,0.2635,0.7457,0.2136,0.6938,0.1424,0.6171,0.0399,0.5207,0.0615,0.305,0.0095,0.2397,0.0793,0.4903,0.0457,0.5247,0.0974,0.3486,0.0207,0.2447,0.027,19.29,25.86,14.86,30.86,28.57,14.29,42.86,14.29,42.86,57.14,28.57,0.0,42.86,28.57,57.14,57.14,42.86,42.86,28.57,14.29,71.43,85.71,42.86,57.14,14.29,28.57,85.71,71.43,57.14,42.86,42.86,28.57,57.14,71.43,28.57,0.0,57.14,14.29,71.43,28.57,57.14,71.43,352.4803,0.3783,254.2287,0.6715
16,ROMANIA - LIGA 2,2024-11-05,16:00,Csikszereda M. Ciuc,CSM Slatina,1.7,3.3,4.5,1.41,2.7,1.36,3.0,2.23,1.62,2.1,1.67,0.5882,0.303,0.2222,0.7092,0.3704,0.7353,0.3333,0.4484,0.6173,0.4762,0.5988,0.5152,0.3778,1.9412,0.7333,2.6471,1.3636,2.8,1.6,1.2,54.4623,38.6598,30.9638,0.6222,0.4848,0.2667,1.5978,0.8745,0.4594,2.4682,0.4944,0.7729,-1.5514,-0.6105,0.828,1.0866,0.3372,2.3333,0.22,2.2182,0.8543,0.8078,0.9314,1.0737,0.6404,1.4853,0.437,1.2231,2.1918,0.5543,2.0357,0.224,1.7855,0.3438,1.2243,0.1701,9.6993,0.0444,0.8319,0.1176,0.4224,0.2718,0.6176,0.1025,1.351,0.0702,0.6817,0.0892,0.3941,0.1931,0.3705,0.0667,0.3252,0.0372,0.5576,0.0375,0.4645,0.0536,0.5209,0.0244,0.2734,0.049,13.71,28.57,14.43,40.29,14.29,42.86,42.86,0.0,42.86,85.71,42.86,0.0,28.57,42.86,71.43,85.71,28.57,14.29,42.86,28.57,57.14,71.43,57.14,85.71,14.29,0.0,85.71,100.0,42.86,14.29,14.29,57.14,85.71,42.86,42.86,28.57,42.86,14.29,57.14,42.86,57.14,100.0,263.8556,0.5765,347.5008,0.2766
17,SOUTH AFRICA - PREMIERSHIP,2024-11-05,18:30,Orlando Pirates,Richards Bay,1.33,4.2,10.0,1.43,2.63,1.38,2.9,2.28,1.58,2.75,1.41,0.7519,0.2381,0.1,0.6993,0.3802,0.7246,0.3448,0.4386,0.6329,0.3636,0.7092,0.3167,0.133,3.1579,0.42,7.5188,2.381,8.67,2.87,5.8,77.0102,55.1287,70.9744,0.867,0.6833,0.58,2.2455,0.5583,1.1855,0.8435,1.1479,0.1945,-0.2071,-2.3201,0.6629,1.1403,0.3494,1.3967,0.2575,1.8951,0.2834,1.7219,1.5601,0.6255,0.5075,1.0532,0.4121,1.297,0.7145,1.5573,2.49,0.2049,1.6715,0.2088,0.8114,0.6101,3.1385,0.4746,1.2032,0.1189,0.385,0.0756,0.6318,0.1899,0.6707,0.1154,0.4474,0.1752,0.7251,0.092,0.3976,0.0724,0.2565,0.1064,0.5073,0.0909,0.4255,0.0226,0.6921,0.0285,0.3415,0.0486,36.29,17.29,23.57,12.71,14.29,14.29,71.43,28.57,28.57,28.57,42.86,14.29,28.57,28.57,71.43,57.14,28.57,42.86,28.57,0.0,71.43,100.0,71.43,28.57,0.0,42.86,100.0,57.14,28.57,71.43,28.57,14.29,71.43,85.71,42.86,28.57,71.43,14.29,85.71,42.86,42.86,42.86,315.8401,0.3213,215.7588,0.833
14,ISRAEL - LIGAT HA'AL,2024-11-05,18:30,Sakhnin,Beitar Jerusalem,3.45,3.5,1.97,1.3,3.4,1.2,4.33,1.63,2.15,1.62,2.2,0.2899,0.2857,0.5076,0.7692,0.2941,0.8333,0.2309,0.6135,0.4651,0.6173,0.4545,0.9857,1.7513,1.0145,1.7766,0.571,0.5629,1.48,0.05,1.53,-36.5014,1.4321,-37.416,0.7513,0.0143,0.7766,1.3755,1.0158,1.5416,1.0402,0.2652,2.8824,0.6887,1.294,0.383,2.0543,0.3854,1.3869,0.1409,2.6828,0.261,1.4483,1.608,0.7796,1.5863,1.1913,1.3428,0.5629,0.8976,1.191,5.5308,0.2853,4.5945,0.102,5.2796,0.1524,1.5314,1.2315,0.9548,0.1713,1.4025,0.0899,0.7405,0.074,0.6168,0.3821,0.668,0.0648,0.5597,0.0863,0.5261,0.0616,0.5203,0.0498,0.5173,0.0309,0.5342,0.0313,0.338,0.0802,0.5193,0.0743,29.29,54.71,16.29,37.86,42.86,14.29,42.86,42.86,42.86,57.14,14.29,28.57,71.43,14.29,57.14,57.14,42.86,42.86,14.29,0.0,85.71,100.0,100.0,71.43,0.0,0.0,100.0,100.0,0.0,28.57,57.14,42.86,42.86,57.14,42.86,42.86,42.86,57.14,85.71,57.14,85.71,57.14,278.2675,0.4713,363.0816,0.0465
13,ENGLAND - CHAMPIONSHIP,2024-11-05,20:45,Bristol City,Sheffield Utd,2.8,3.25,2.62,1.44,2.63,1.33,3.4,2.1,1.73,1.8,1.91,0.3571,0.3077,0.3817,0.6944,0.3802,0.7519,0.2941,0.4762,0.578,0.5556,0.5236,0.8615,1.0687,1.1607,1.2405,0.9357,0.8062,0.18,0.45,0.63,-5.1428,12.6804,-17.4844,0.0687,0.1385,0.2405,1.6819,0.6356,0.8245,1.6315,0.4108,0.3204,-0.3522,-1.8214,0.5771,1.3634,0.3326,1.607,0.1241,3.0459,0.3625,1.3462,1.4754,0.8624,0.5402,1.7608,1.0646,0.9393,0.8923,0.8471,2.74,0.3172,2.4057,1.4083,1.7786,0.2165,2.1428,0.423,0.9579,0.1822,0.6928,0.1243,0.6721,0.1659,0.4785,0.2184,0.6149,0.1399,0.5716,0.1727,0.498,0.0578,0.5305,0.266,0.4856,0.022,0.5521,0.0449,0.4871,0.0858,0.3856,0.229,42.86,41.43,8.43,28.86,28.57,0.0,57.14,42.86,28.57,42.86,14.29,42.86,71.43,14.29,57.14,57.14,42.86,42.86,14.29,14.29,85.71,85.71,85.71,57.14,14.29,14.29,85.71,85.71,14.29,42.86,28.57,0.0,71.43,100.0,42.86,28.57,42.86,28.57,85.71,42.86,71.43,57.14,177.3395,0.884,268.3819,0.5681
9,ENGLAND - CHAMPIONSHIP,2024-11-05,20:45,QPR,Middlesbrough,3.8,3.5,2.0,1.36,3.0,1.29,3.75,1.88,1.98,1.73,2.0,0.2632,0.2857,0.5,0.7353,0.3333,0.7752,0.2667,0.5319,0.5051,0.578,0.5,1.0857,1.9,0.9211,1.75,0.5263,0.5714,1.8,0.3,1.5,-41.9872,-8.5308,-36.8699,0.9,0.0857,0.75,1.1341,0.9426,1.3884,1.089,0.3616,3.1587,0.3109,1.4223,1.0962,0.5267,0.3277,1.4892,0.8863,0.6515,0.4986,1.072,1.769,0.641,1.1373,1.2135,1.4075,0.8056,0.8264,0.8351,2.04,0.1299,3.3671,0.2003,3.8415,0.1257,2.5471,0.4284,0.6343,0.078,1.012,0.0687,0.9914,0.0744,0.7977,0.1806,0.7901,0.0744,0.6526,0.0817,0.4835,0.0794,0.5785,0.0487,0.4544,0.0654,0.5044,0.0496,0.4114,0.0425,0.4525,0.0957,26.14,19.29,35.29,33.29,42.86,42.86,57.14,28.57,42.86,57.14,42.86,0.0,85.71,42.86,100.0,57.14,0.0,42.86,85.71,14.29,14.29,85.71,100.0,57.14,0.0,0.0,100.0,100.0,0.0,42.86,57.14,28.57,42.86,71.43,14.29,14.29,14.29,42.86,100.0,71.43,85.71,71.43,185.5241,0.7601,320.2347,0.3147
