Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
4,BRAZIL - SERIE A BETANO,2024-11-07,01:00,Atletico GO,Atletico-MG,2.25,3.2,3.1,1.5,2.5,1.44,2.75,2.4,1.53,2.0,1.75,0.4444,0.3125,0.3226,0.6667,0.4,0.6944,0.3636,0.4167,0.6536,0.5,0.5714,0.7031,0.7258,1.4222,1.0323,1.3778,0.9688,0.85,0.95,0.1,23.0255,25.4077,-2.8624,0.2742,0.2969,0.0323,1.4114,1.0712,0.6928,1.6061,-0.45,-1.2591,-1.148,-0.6932,0.1734,2.1799,0.082,4.6098,0.2791,1.7485,0.7591,0.9958,0.859,0.8034,0.8273,1.2922,1.3091,1.0542,1.9753,0.5412,2.1072,0.132,3.6088,0.1873,2.8874,0.1564,5.7559,0.0308,0.6445,0.0763,0.6615,0.2419,0.7874,0.1257,0.9472,0.0598,0.6624,0.0906,0.7017,0.0666,0.3458,0.0359,0.365,0.0767,0.4425,0.0504,0.5396,0.0254,0.4319,0.0164,0.323,0.0601,44.14,37.86,35.57,34.57,28.57,14.29,42.86,42.86,28.57,42.86,14.29,0.0,42.86,57.14,28.57,57.14,71.43,42.86,14.29,28.57,85.71,71.43,57.14,85.71,0.0,14.29,100.0,85.71,42.86,14.29,28.57,71.43,71.43,28.57,0.0,0.0,42.86,14.29,71.43,57.14,71.43,85.71,263.1259,0.3756,229.2634,0.6604
5,BRAZIL - SERIE A BETANO,2024-11-07,01:00,Cruzeiro,Flamengo RJ,2.05,3.25,3.5,1.5,2.5,1.44,2.75,2.3,1.6,2.0,1.75,0.4878,0.3077,0.2857,0.6667,0.4,0.6944,0.3636,0.4348,0.625,0.5,0.5714,0.6308,0.5857,1.5854,0.9286,1.7073,1.0769,1.45,1.2,0.25,35.9421,30.9638,7.125,0.4143,0.3692,0.0714,1.1112,1.1281,1.0127,1.5835,0.1112,1.8597,-0.3614,-2.0647,0.4409,1.7845,0.9639,0.599,0.5371,1.4649,0.4968,1.0759,0.7798,1.4808,1.6309,0.7687,0.6686,1.1306,1.9923,0.6752,1.5115,0.5551,3.8855,0.1537,1.5772,0.1427,5.821,0.0362,0.6877,0.341,0.8133,0.2339,0.6877,0.0941,1.0276,0.0705,0.7709,0.1645,0.5264,0.0796,0.3471,0.0507,0.3588,0.0404,0.5072,0.0451,0.5062,0.0164,0.5183,0.0386,0.3409,0.1405,18.43,20.29,24.86,33.57,14.29,28.57,42.86,57.14,28.57,42.86,28.57,57.14,42.86,71.43,57.14,85.71,42.86,14.29,28.57,57.14,71.43,42.86,57.14,85.71,28.57,0.0,71.43,100.0,42.86,14.29,28.57,71.43,71.43,28.57,28.57,42.86,28.57,42.86,57.14,85.71,57.14,85.71,175.1324,0.9898,314.6233,0.0306
3,ARGENTINA - TORNEO BETANO,2024-11-07,01:30,Instituto,River Plate,3.9,3.2,2.0,1.57,2.25,1.5,2.5,2.5,1.5,2.2,1.62,0.2564,0.3125,0.5,0.6369,0.4444,0.6667,0.4,0.4,0.6667,0.4545,0.6173,1.2188,1.95,0.8205,1.6,0.5128,0.625,1.9,0.7,1.2,-43.5312,-19.29,-30.9638,0.95,0.2187,0.6,2.4012,0.5221,1.3933,1.0851,1.3094,0.2104,-0.6961,-1.1636,1.1799,1.1401,0.2931,1.665,0.4817,1.1096,0.501,1.5705,1.8705,0.7826,0.6079,0.8793,0.5611,0.9526,1.304,1.1226,3.08,0.1587,1.4286,0.0977,0.7714,1.455,3.7502,0.2448,1.0483,0.1604,0.3941,0.0297,0.4769,0.338,0.7513,0.1424,0.6271,0.0812,0.6431,0.0978,0.2312,0.0389,0.343,0.0569,0.4017,0.1125,0.4544,0.0425,0.5252,0.0786,0.3598,0.0648,23.29,12.71,28.14,17.71,14.29,14.29,57.14,42.86,28.57,42.86,42.86,14.29,42.86,14.29,57.14,42.86,42.86,57.14,42.86,14.29,57.14,85.71,71.43,42.86,14.29,14.29,85.71,85.71,28.57,57.14,42.86,28.57,57.14,71.43,42.86,14.29,71.43,42.86,71.43,57.14,57.14,42.86,253.5977,0.5279,253.1371,0.5285
9,COSTA RICA - PRIMERA DIVISION,2024-11-07,02:00,San Carlos,Herediano,2.2,3.2,3.0,1.44,2.63,1.33,3.25,2.05,1.75,1.8,1.91,0.4545,0.3125,0.3333,0.6944,0.3802,0.7519,0.3077,0.4878,0.5714,0.5556,0.5236,0.6875,0.7333,1.4545,1.0667,1.3636,0.9375,0.8,1.0,0.2,21.8014,26.5651,-5.7106,0.2667,0.3125,0.0667,1.4794,0.8474,0.9697,1.3872,0.6109,0.5569,-0.298,-1.5101,0.7279,1.5863,0.257,1.8988,0.5743,1.37,0.4977,1.5809,1.5152,1.0385,1.127,1.2246,0.9043,0.9029,1.425,0.8929,2.9514,0.1839,3.2972,0.1396,1.4343,0.424,3.2259,0.1906,1.3218,0.1664,1.0996,0.1118,0.8218,0.0673,1.0282,0.0781,0.6722,0.0693,0.6033,0.1324,0.5889,0.0309,0.4295,0.0698,0.5413,0.075,0.4908,0.0218,0.6436,0.081,0.4851,0.0501,27.29,22.86,42.29,36.57,42.86,14.29,42.86,57.14,42.86,14.29,14.29,28.57,71.43,57.14,71.43,57.14,28.57,42.86,57.14,14.29,42.86,85.71,85.71,71.43,14.29,14.29,85.71,85.71,14.29,28.57,57.14,42.86,42.86,57.14,42.86,14.29,42.86,28.57,85.71,71.43,71.43,71.43,190.4551,0.8473,319.1573,0.4818
15,MEXICO - LIGA MX,2024-11-07,02:00,Club America,Pachuca,1.65,3.8,4.33,1.36,3.0,1.25,3.75,1.85,2.0,1.8,1.95,0.6061,0.2632,0.2309,0.7353,0.3333,0.8,0.2667,0.5405,0.5,0.5556,0.5128,0.4342,0.3811,2.303,0.8776,2.6242,1.1395,2.68,2.15,0.53,53.2672,47.07,14.8422,0.6189,0.5658,0.1224,2.0481,0.7148,0.5118,2.1741,0.8553,0.3135,-1.2166,-0.423,0.5473,1.4376,0.1852,4.0815,0.3134,1.5571,1.0218,1.1301,1.2784,1.093,0.5576,1.9955,0.4232,1.263,1.7742,0.5361,2.5758,0.2261,2.043,0.4356,0.9643,0.1849,5.6788,0.2248,1.1775,0.1194,0.6284,0.2858,0.606,0.0969,1.1998,0.088,0.4828,0.1344,0.5311,0.0845,0.5946,0.0582,0.5492,0.085,0.4855,0.0531,0.4757,0.0946,0.6406,0.0431,0.3996,0.0586,28.29,19.71,22.57,35.29,14.29,28.57,57.14,14.29,42.86,57.14,28.57,0.0,14.29,42.86,57.14,57.14,42.86,42.86,14.29,42.86,85.71,57.14,42.86,85.71,0.0,14.29,100.0,85.71,57.14,14.29,42.86,42.86,57.14,57.14,42.86,14.29,71.43,14.29,71.43,42.86,42.86,85.71,355.3344,0.0199,313.6619,0.4798
13,MEXICO - LIGA DE EXPANSION MX,2024-11-07,02:00,Venados,Celaya,2.25,3.25,2.8,1.4,2.75,1.29,3.1,1.97,1.7,1.82,1.91,0.4444,0.3077,0.3571,0.7143,0.3636,0.7752,0.3226,0.5076,0.5882,0.5495,0.5236,0.6923,0.8036,1.4444,1.1607,1.2444,0.8615,0.55,1.0,0.45,15.3763,26.5651,-12.6804,0.1964,0.3077,0.1607,2.0846,0.6193,0.7867,1.3588,1.4074,0.3229,-0.328,-1.8805,1.1002,1.1043,0.5649,0.9462,0.4801,1.1133,0.5091,1.0499,2.2548,0.6705,1.0825,1.5744,0.8474,1.1801,1.4105,0.3789,4.226,0.1507,3.0215,0.1068,1.5687,0.2215,2.9287,0.1023,1.6759,0.1417,0.9376,0.1202,0.8187,0.159,0.8662,0.137,0.5852,0.1167,0.7629,0.083,0.5811,0.031,0.4648,0.0269,0.4998,0.0448,0.4564,0.0234,0.6375,0.0529,0.4466,0.0282,36.0,22.71,24.57,43.0,14.29,57.14,85.71,14.29,14.29,71.43,42.86,14.29,71.43,71.43,85.71,71.43,14.29,28.57,57.14,42.86,42.86,57.14,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,57.14,28.57,42.86,71.43,42.86,14.29,57.14,14.29,100.0,71.43,71.43,100.0,281.7855,0.464,207.9613,0.6874
17,MEXICO - LIGA MX,2024-11-07,02:00,U.A.N.L.- Tigres,Toluca,1.62,4.2,4.2,1.25,3.75,1.17,5.0,1.57,2.35,1.53,2.38,0.6173,0.2381,0.2381,0.8,0.2667,0.8547,0.2,0.6369,0.4255,0.6536,0.4202,0.3857,0.3857,2.5926,1.0,2.5926,1.0,2.58,2.58,0.0,52.2174,52.2174,0.0,0.6143,0.6143,0.0,1.7051,0.7571,1.3431,0.9334,0.2255,0.9783,-0.0078,-42.0,0.514,1.0399,0.6183,0.8645,0.3404,1.4336,0.0674,5.6083,1.0864,0.3479,0.9561,0.941,0.8608,1.105,0.964,0.847,2.0143,0.3815,3.5483,0.1952,0.8929,0.7137,2.5256,0.3621,0.9659,0.2532,0.8553,0.1775,0.6088,0.2214,0.7125,0.0849,0.4488,0.1671,0.7677,0.0819,0.69,0.0404,0.7078,0.0181,0.5308,0.0298,0.4588,0.0911,0.6461,0.0358,0.425,0.0675,49.86,13.86,19.29,47.43,0.0,42.86,100.0,14.29,0.0,71.43,57.14,14.29,42.86,42.86,57.14,71.43,42.86,28.57,28.57,0.0,71.43,100.0,42.86,57.14,0.0,14.29,100.0,85.71,57.14,42.86,28.57,28.57,71.43,71.43,28.57,57.14,57.14,28.57,100.0,57.14,42.86,71.43,277.6312,0.4641,231.775,0.691
18,MEXICO - LIGA MX,2024-11-07,02:00,Necaxa,Atl. San Luis,2.25,3.7,2.6,1.33,3.25,1.2,4.33,1.67,2.15,1.57,2.25,0.4444,0.2703,0.3846,0.7519,0.3077,0.8333,0.2309,0.5988,0.4651,0.6369,0.4444,0.6081,0.8654,1.6444,1.4231,1.1556,0.7027,0.35,1.45,1.1,9.9262,35.9421,-28.8108,0.1346,0.3919,0.4231,1.8656,0.7847,0.4694,2.4156,0.975,0.5907,-0.8851,-1.164,0.6474,1.1676,0.4111,1.9139,0.1788,4.2276,0.4859,1.1,1.7566,0.7658,0.7597,1.5993,0.7816,0.8829,1.6448,0.5933,4.1743,0.0763,3.2113,0.1766,2.7771,0.3009,7.7985,0.0278,1.0647,0.0757,0.6344,0.149,0.7789,0.1633,1.0629,0.0248,0.6793,0.0907,0.4158,0.1294,0.5806,0.0212,0.7339,0.0794,0.4765,0.0844,0.5497,0.1002,0.415,0.0453,0.2687,0.1009,32.29,45.86,15.71,49.57,42.86,14.29,42.86,28.57,42.86,57.14,28.57,28.57,57.14,28.57,57.14,57.14,42.86,42.86,28.57,28.57,71.43,71.43,85.71,71.43,0.0,0.0,100.0,100.0,14.29,28.57,57.14,57.14,42.86,42.86,42.86,14.29,57.14,14.29,85.71,42.86,71.43,85.71,316.891,0.3216,314.2784,0.3121
8,COSTA RICA - PRIMERA DIVISION,2024-11-07,03:00,Alajuelense,Sporting San Jose,1.29,4.8,8.5,1.33,3.25,1.2,4.33,1.67,2.15,2.1,1.67,0.7752,0.2083,0.1176,0.7519,0.3077,0.8333,0.2309,0.5988,0.4651,0.4762,0.5988,0.2688,0.1518,3.7209,0.5647,6.5891,1.7708,7.21,3.51,3.7,74.4964,60.3255,61.607,0.8482,0.7312,0.4353,1.9528,0.5474,0.5936,2.4661,0.8118,0.1757,-0.8432,-0.8534,0.606,1.764,0.1979,2.4659,0.7294,0.7328,0.1979,1.9101,1.8597,0.5377,0.5196,1.8306,1.048,0.551,1.3628,0.5547,2.9257,0.1026,1.6545,0.7049,1.4029,0.1471,5.4473,0.0676,1.443,0.0533,0.4285,0.2973,0.8715,0.0991,0.8571,0.1351,0.5908,0.0619,0.4604,0.2105,0.6769,0.0365,0.5412,0.0575,0.5315,0.0341,0.507,0.0292,0.7431,0.0529,0.2856,0.069,39.71,36.71,15.14,45.71,28.57,28.57,71.43,14.29,28.57,71.43,28.57,14.29,85.71,28.57,100.0,42.86,0.0,57.14,28.57,0.0,71.43,100.0,100.0,71.43,0.0,0.0,100.0,100.0,0.0,28.57,71.43,28.57,28.57,71.43,42.86,28.57,57.14,28.57,100.0,42.86,85.71,85.71,242.5575,0.5823,313.5,0.0243
14,MEXICO - LIGA DE EXPANSION MX,2024-11-07,04:05,Zacatecas Mineros,Leones Negros,2.4,3.2,2.62,1.4,2.75,1.3,3.25,1.91,1.8,1.75,1.95,0.4167,0.3125,0.3817,0.7143,0.3636,0.7692,0.3077,0.5236,0.5556,0.5714,0.5128,0.75,0.916,1.3333,1.2214,1.0917,0.8187,0.22,0.8,0.58,6.2773,21.8014,-16.1722,0.084,0.25,0.2214,2.1091,0.4627,2.3001,0.4243,1.1834,0.2337,1.3966,0.3504,1.015,1.0532,0.7683,0.8982,0.4238,1.7836,0.1869,2.0225,1.7918,0.7893,1.6532,0.8137,0.6084,1.2932,0.2566,1.9018,3.0715,0.2007,3.886,0.0934,0.7715,0.8367,0.52,0.8281,1.3185,0.1589,1.1624,0.1857,0.5328,0.3647,0.3767,0.3568,0.4043,0.3656,0.5935,0.0903,0.7215,0.038,0.5384,0.0362,0.5649,0.0416,0.6217,0.0449,0.637,0.0419,0.4677,0.1462,26.57,15.57,34.14,8.71,14.29,14.29,71.43,71.43,14.29,14.29,57.14,57.14,28.57,28.57,71.43,71.43,28.57,28.57,42.86,28.57,57.14,71.43,57.14,71.43,14.29,14.29,85.71,85.71,42.86,28.57,57.14,42.86,42.86,57.14,57.14,57.14,71.43,71.43,85.71,85.71,28.57,28.57,268.1463,0.5748,275.4336,0.5722
