Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
1,BOLIVIA - DIVISION PROFESIONAL,2024-11-28,00:00,The Strongest,Always Ready,1.62,3.8,4.33,1.33,3.25,1.2,4.33,1.7,2.1,1.67,2.1,0.6173,0.2632,0.2309,0.7519,0.3077,0.8333,0.2309,0.5882,0.4762,0.5988,0.4762,0.4263,0.3741,2.3457,0.8776,2.6728,1.1395,2.71,2.18,0.53,53.5724,47.4658,14.8422,0.6259,0.5737,0.1224,1.822,0.5867,1.1154,1.206,1.0197,0.2798,-0.3182,-1.4016,1.1541,0.598,0.3162,1.5433,0.2628,1.8569,0.5284,1.489,1.8926,0.8314,1.0888,0.9818,0.8729,0.7906,1.407,0.6936,3.1372,0.0974,3.1858,0.1223,1.4714,0.1035,3.893,0.1368,1.5039,0.0692,0.8399,0.1245,0.8611,0.0979,0.9828,0.0975,0.5279,0.1379,0.68,0.0662,0.7675,0.0283,0.4076,0.1141,0.4852,0.0336,0.4906,0.0681,0.7221,0.028,0.3941,0.052,33.57,34.86,39.86,42.14,57.14,42.86,42.86,57.14,42.86,42.86,42.86,14.29,71.43,57.14,85.71,57.14,14.29,42.86,42.86,28.57,57.14,71.43,85.71,71.43,85.71,71.43,100.0,100.0,14.29,28.57,42.86,42.86,57.14,57.14,71.43,14.29,57.14,28.57,100.0,71.43,71.43,85.71,8.6008,0.7656,1.03,4.1698
4,COLOMBIA - PRIMERA A,2024-11-28,00:30,Deportes Tolima,America De Cali,2.0,3.0,3.8,1.53,2.38,1.44,2.63,2.4,1.53,2.1,1.67,0.5,0.3333,0.2632,0.6536,0.4202,0.6944,0.3802,0.4167,0.6536,0.4762,0.5988,0.6667,0.5263,1.5,0.7895,1.9,1.2667,1.8,1.0,0.8,41.9872,26.5651,21.8014,0.4737,0.3333,0.2105,1.9293,0.5541,1.3594,1.0279,0.764,0.1709,-0.3012,-2.0681,0.6646,1.3537,0.8137,0.8481,0.1189,3.1791,0.5306,1.0074,1.2059,0.8093,1.3606,0.3928,0.4419,1.2095,1.6618,0.7657,2.0529,0.2334,3.2013,0.1497,0.4429,0.9576,4.4785,0.1711,1.0391,0.1125,0.8387,0.1412,0.4676,0.2254,0.9102,0.139,0.3719,0.1694,0.5312,0.0614,0.3703,0.0427,0.2824,0.0722,0.4662,0.1075,0.5638,0.0498,0.6496,0.0354,0.3918,0.0556,28.57,23.86,37.71,24.57,28.57,28.57,57.14,71.43,14.29,28.57,42.86,42.86,42.86,71.43,57.14,85.71,42.86,14.29,28.57,42.86,71.43,57.14,71.43,85.71,71.43,85.71,85.71,100.0,28.57,14.29,28.57,57.14,71.43,42.86,57.14,42.86,57.14,42.86,85.71,100.0,42.86,71.43,4.1242,1.1406,-1.2832,-3.7734
3,BRAZIL - SERIE A BETANO,2024-11-28,01:00,Cruzeiro,Gremio,2.1,3.25,3.4,1.5,2.5,1.4,3.0,2.15,1.67,1.95,1.8,0.4762,0.3077,0.2941,0.6667,0.4,0.7143,0.3333,0.4651,0.5988,0.5128,0.5556,0.6462,0.6176,1.5476,0.9559,1.619,1.0462,1.3,1.15,0.15,33.0239,29.8989,4.2892,0.3824,0.3538,0.0441,0.8708,1.1484,1.1051,1.1344,-0.1292,-1.6169,-0.0014,-341.5714,0.1744,4.3343,0.5435,0.9834,0.2083,2.3428,0.5919,1.3293,0.5503,2.022,1.1453,0.9715,0.6795,0.7182,1.1467,0.7846,1.7071,0.4131,2.8571,0.1868,1.64,0.1793,4.7145,0.1347,0.7623,0.2542,0.5579,0.1294,0.6908,0.1148,0.7008,0.1311,0.6575,0.1664,0.5676,0.0712,0.3523,0.0525,0.4616,0.0503,0.5077,0.0288,0.4949,0.0257,0.5245,0.0362,0.2587,0.0421,18.57,38.29,26.86,31.0,57.14,57.14,14.29,28.57,42.86,57.14,0.0,14.29,42.86,57.14,28.57,57.14,71.43,42.86,14.29,42.86,85.71,57.14,42.86,57.14,42.86,57.14,71.43,85.71,57.14,42.86,14.29,57.14,85.71,42.86,14.29,14.29,14.29,28.57,42.86,71.43,71.43,71.43,-6.1913,-0.5518,-3.928,-1.3558
46,URUGUAY - PRIMERA DIVISION,2024-11-28,01:15,Danubio,Nacional,8.0,4.2,1.36,1.44,2.63,1.36,3.0,2.15,1.67,2.5,1.5,0.125,0.2381,0.7353,0.6944,0.3802,0.7353,0.3333,0.4651,0.5988,0.4,0.6667,1.9048,5.8824,0.525,3.0882,0.17,0.3238,6.64,3.8,2.84,-73.2374,-62.2415,-54.8458,4.8824,0.9048,2.0882,2.0587,0.6089,2.3577,0.5317,-0.1519,-10.1165,2.1772,0.2201,0.5456,0.9797,1.1876,0.842,0.6441,1.7604,0.4314,1.8238,1.285,0.7595,2.8771,0.5972,1.4368,1.5563,0.6998,1.7914,3.4144,0.2082,3.57,0.0903,1.0643,0.527,1.0114,0.2855,0.9079,0.1597,1.6428,0.0385,0.3365,0.3935,0.7143,0.0949,0.5452,0.099,0.4696,0.0867,0.3003,0.0376,0.4852,0.0239,0.4468,0.062,0.3983,0.1255,0.3873,0.0315,0.7142,0.0423,37.14,16.29,36.43,9.86,28.57,14.29,71.43,85.71,28.57,14.29,42.86,57.14,14.29,28.57,71.43,85.71,28.57,14.29,14.29,28.57,85.71,71.43,71.43,85.71,71.43,85.71,100.0,100.0,28.57,14.29,28.57,57.14,71.43,42.86,57.14,57.14,71.43,71.43,85.71,100.0,28.57,28.57,10.0312,0.9729,32.5416,0.1821
2,BOLIVIA - DIVISION PROFESIONAL,2024-11-28,01:30,Royal Pari,Nacional Potosi,3.2,3.25,2.05,1.36,3.0,1.25,3.75,1.83,1.98,1.67,2.1,0.3125,0.3077,0.4878,0.7353,0.3333,0.8,0.2667,0.5464,0.5051,0.5988,0.4762,0.9846,1.561,1.0156,1.5854,0.6406,0.6308,1.15,0.05,1.2,-29.8989,1.4321,-30.9638,0.561,0.0154,0.5854,0.7916,1.3504,1.2145,1.0322,-0.5731,-0.5783,-0.3659,-2.3408,0.1208,3.1291,1.1269,1.0782,0.8204,1.0967,1.1746,0.766,0.6339,1.7553,1.6418,0.8406,1.2069,0.9219,2.0077,0.643,1.3243,0.2815,5.95,0.1359,2.3744,0.1541,7.2927,0.1154,0.6204,0.1673,1.0846,0.1456,0.9061,0.104,1.2275,0.0625,0.8082,0.0432,0.7059,0.1734,0.4545,0.068,0.5092,0.0901,0.4721,0.0517,0.4665,0.0622,0.5265,0.0412,0.3121,0.0506,22.71,27.29,27.86,23.71,57.14,42.86,28.57,57.14,42.86,42.86,14.29,28.57,28.57,71.43,57.14,85.71,42.86,14.29,28.57,71.43,71.43,28.57,57.14,85.71,57.14,85.71,85.71,100.0,42.86,14.29,14.29,57.14,85.71,42.86,0.0,28.57,14.29,28.57,42.86,85.71,71.43,85.71,-7.0224,-0.4507,-1.4205,-4.5705
42,MEXICO - LIGA MX,2024-11-28,02:00,Club America,Toluca,1.95,3.5,3.3,1.33,3.25,1.2,4.33,1.7,2.1,1.57,2.25,0.5128,0.2857,0.303,0.7519,0.3077,0.8333,0.2309,0.5882,0.4762,0.6369,0.4444,0.5571,0.5909,1.7949,1.0606,1.6923,0.9429,1.35,1.55,0.2,34.0193,37.7757,-5.7106,0.4091,0.4429,0.0606,2.0922,0.6997,1.7959,0.698,0.862,0.3155,0.44,0.8614,0.522,1.5073,0.9162,0.7532,0.2989,1.6327,0.0684,5.5263,1.4809,0.9319,1.4035,0.7928,0.619,0.8635,0.9634,0.8475,2.4543,0.22,4.1198,0.1619,1.0,0.1812,3.6684,0.3833,1.0978,0.1266,0.9208,0.1384,0.5978,0.0897,0.8494,0.1407,0.5012,0.1139,0.6967,0.101,0.5694,0.0601,0.7421,0.0278,0.4845,0.0588,0.413,0.1044,0.6241,0.0353,0.4131,0.0809,24.14,32.14,22.0,48.0,57.14,71.43,42.86,14.29,42.86,71.43,28.57,14.29,28.57,57.14,57.14,85.71,42.86,14.29,14.29,14.29,85.71,85.71,57.14,71.43,57.14,71.43,100.0,85.71,42.86,28.57,57.14,42.86,42.86,57.14,42.86,71.43,71.43,42.86,71.43,71.43,57.14,71.43,19.9753,0.219,1.2005,4.4357
5,COLOMBIA - PRIMERA A,2024-11-28,02:30,Once Caldas,Junior,2.0,3.1,3.6,1.53,2.38,1.4,2.75,2.35,1.57,2.0,1.73,0.5,0.3226,0.2778,0.6536,0.4202,0.7143,0.3636,0.4255,0.6369,0.5,0.578,0.6452,0.5556,1.55,0.8611,1.8,1.1613,1.6,1.1,0.5,38.6598,28.8108,14.0362,0.4444,0.3548,0.1389,1.5298,0.9134,0.8252,1.2954,0.2374,1.8109,-0.5232,-1.0524,0.6944,1.0886,0.1597,2.3669,0.4581,1.1668,0.4101,1.3033,1.2555,1.1916,0.2486,1.963,1.0181,0.802,0.7718,0.9794,1.9644,0.284,0.3215,0.5344,1.9286,0.2646,3.4999,0.2425,0.7515,0.19,0.2246,0.1794,0.7515,0.2318,0.5817,0.1545,0.7227,0.0682,0.5585,0.0736,0.2733,0.0542,0.3,0.0387,0.5128,0.0936,0.4219,0.0453,0.503,0.0813,0.3063,0.0601,13.86,30.86,17.43,18.43,57.14,42.86,28.57,28.57,57.14,42.86,28.57,14.29,42.86,14.29,85.71,57.14,14.29,42.86,28.57,0.0,71.43,100.0,85.71,28.57,85.71,28.57,85.71,71.43,14.29,71.43,28.57,0.0,71.43,100.0,42.86,14.29,42.86,14.29,57.14,28.57,71.43,57.14,-2.5018,-2.6402,-8.5158,-0.4865
41,MEXICO - LIGA MX,2024-11-28,04:10,Club Tijuana,Cruz Azul,3.6,3.3,1.91,1.4,2.75,1.29,3.5,2.0,1.85,1.75,2.0,0.2778,0.303,0.5236,0.7143,0.3636,0.7752,0.2857,0.5,0.5405,0.5714,0.5,1.0909,1.8848,0.9167,1.7277,0.5306,0.5788,1.69,0.3,1.39,-40.1978,-8.5308,-34.7993,0.8848,0.0909,0.7277,1.5559,0.9409,2.6646,0.4255,-0.2901,-2.3861,1.8342,0.3924,0.5924,0.9023,1.4326,0.3406,0.5471,0.977,0.7709,1.1671,1.4728,0.5342,2.717,0.4173,1.7629,0.6432,0.8827,1.3081,3.8487,0.1804,3.983,0.1425,3.9187,0.1499,2.2901,0.331,1.0769,0.224,1.3597,0.1576,0.934,0.1062,0.9311,0.2559,0.5027,0.0698,0.5276,0.087,0.5886,0.0255,0.5456,0.0372,0.4781,0.0548,0.454,0.1478,0.4395,0.0997,0.5765,0.0859,30.71,35.0,32.57,13.86,57.14,14.29,42.86,71.43,42.86,14.29,28.57,71.43,71.43,57.14,85.71,100.0,14.29,0.0,28.57,85.71,71.43,14.29,85.71,100.0,85.71,100.0,100.0,100.0,14.29,0.0,85.71,71.43,14.29,28.57,28.57,42.86,57.14,85.71,85.71,100.0,85.71,57.14,3.2412,1.796,12.2721,0.5196
40,INDIA - ISL,2024-11-28,15:00,Kerala Blasters,Goa,2.75,3.5,2.15,1.3,3.15,1.21,3.9,1.73,2.08,1.57,2.23,0.3636,0.2857,0.4651,0.7692,0.3175,0.8264,0.2564,0.578,0.4808,0.6369,0.4484,0.7857,1.2791,1.2727,1.6279,0.7818,0.6143,0.6,0.75,1.35,-16.6992,20.556,-34.0193,0.2791,0.2143,0.6279,1.015,1.4423,1.14,1.0996,-0.4027,-1.6,-0.4128,-1.0552,0.3421,1.5624,0.8268,1.2095,0.9145,0.7546,0.2309,2.1135,2.2173,0.5208,1.6179,0.751,2.62,0.4328,2.0307,0.5264,4.4741,0.0972,3.6613,0.1941,5.377,0.2337,3.9442,0.2132,1.1568,0.0603,1.1704,0.0598,1.3711,0.1602,1.1704,0.1919,0.6959,0.0438,0.6674,0.0832,0.5326,0.0146,0.6479,0.0269,0.4713,0.0269,0.4243,0.0914,0.4565,0.0495,0.4836,0.0544,48.43,36.0,28.14,47.43,28.57,57.14,71.43,42.86,28.57,57.14,14.29,14.29,100.0,85.71,71.43,57.14,28.57,42.86,57.14,42.86,42.86,57.14,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,57.14,0.0,42.86,0.0,57.14,28.57,28.57,100.0,85.71,100.0,100.0,5.6805,1.7275,-5.3926,-0.8146
43,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2024-11-28,15:45,Al Feiha,Al Orubah,1.91,3.25,3.3,1.44,2.63,1.33,3.25,2.05,1.75,1.83,1.83,0.5236,0.3077,0.303,0.6944,0.3802,0.7519,0.3077,0.4878,0.5714,0.5464,0.5464,0.5877,0.5788,1.7016,0.9848,1.7277,1.0154,1.39,1.34,0.05,34.7993,33.8221,1.4321,0.4212,0.4123,0.0152,1.0145,1.2357,,,-1.1222,-1.2098,,,0.5904,1.2803,,,1.0617,1.1444,,,1.0792,0.6395,,,2.2014,0.8866,,,4.6723,0.2503,,,14.1613,0.2792,,,0.6501,0.1749,,,1.1501,0.1186,,,0.5486,0.126,,,0.6095,0.0384,,,0.4574,0.0503,,,0.3002,0.1282,,,31.86,17.14,,,42.86,,57.14,,42.86,,28.57,,57.14,,85.71,,14.29,,57.14,,42.86,,85.71,,85.71,,100.0,,14.29,,42.86,,57.14,,42.86,,28.57,,85.71,,71.43,,-8.5014,-0.7993,,
